UniCredit S.p.A. - Elenco movimenti conto corrente ordinario;;;;;
Rapporto: IT33W0200859870000104882913 - AURORA FOOD GROUP S.R.L. - VIA DELL'INDUSTRIA 27 COLOGNA VENETA;;;;;
Periodo: 01/05/2026 - 31/05/2026;Divisa: EUR;Estrazione del 03/06/2026 09:41;;;
07/05/26;07/05/26;PAGAMENTO POS 06/05 BRICOMAN VERONA;214,00;;-12.865,35
07/05/26;07/05/26;SEPA DD KONE SPA CANONE MANUT. MONTACARICHI MAGAZZINO;310,00;;-13.175,35
08/05/26;08/05/26;ADDEBITO CANONE NOLEGGIO OPERATIVO CARRELLO ELEVATORE TOYOTA;780,00;;-13.955,35
08/05/26;08/05/26;ADDEBITO RATA LEASING UNICREDIT LEASING FORNO FT-02 CONTR.LS884213;6.450,00;;-20.405,35
08/05/26;08/05/26;ADDEBITO RATA LEASING CONFEZIONATRICE PKM-450 CONTR.LS901077;3.980,00;;-24.385,35
08/05/26;08/05/26;PAGAMENTO POS 07/05 TRATTORIA DA BEPI PRANZO FORNITORE;N/D;;N/D
08/05/26;08/05/26;BONIFICO A TECNOFORNI SERVICE SRL FT 112/26 CANONE MANUTENZ. TRIM. FORNI;2.950,00;;-27.335,35
08/05/26;08/05/26;PAGOPA COMUNE COLOGNA VENETA TARI 2026 ACCONTO;4.120,00;;-31.455,35
08/05/26;08/05/26;SEPA DD FASTWEB SPA FIBRA UFFICI;190,00;;-31.645,35
08/05/26;08/05/26;;controllare con contabilita fido, qui nn torna con l'e/c anticipi - risentire Unicredit (L.Trentin);;-31.645,35
Data contabile;Data valuta;Descrizione operazione;Dare €;Avere €;Saldo progressivo €
11/05/26;11/05/26;BON. SEPA DA TOSANO CEREA SPA CRO 20260510I1234500 FATT 2026/188-189-190 DI FEBBRAIO SALDO 90GG;;186.420,00;154.774,65
11/05/26;11/05/26;BON. SEPA DA TOSANO CEREA SPA CRO 20260510I1234501 FATT 2026/195 DEL 27/02/26 SALDO 90GG;;41.008,30;195.782,95
11/05/26;10/05/26;PAG. RIBA SCAD. 10/05 BENEF. MOLINO VENETO SPA;19.380,00;;176.402,95
11/05/26;10/05/26;PAG. RIBA SCAD. 10/05 BENEF. MOLINO VENETO SPA;19.380,00;;157.022,95
11/05/26;10/05/26;PAG. RIBA SCAD. 10/05 BENEF. OLEIFICIO ADRIATICO SPA;18.224,60;;138.798,35
11/05/26;10/05/26;PAG. RIBA SCAD. 10/05 BENEF. PAKMATIC ITALIA SRL;4.418,00;;134.380,35
11/05/26;11/05/26;COMMISSIONI € RIBA PASSIVE N.4 EFFETTI;6,00;;134.374,35
11/05/26;11/05/26;BONIFICO A ICEA ISTITUTO CERT. ETICA AMBIENTALE RINNOVO IT BIO 006;980,00;;133.394,35
11/05/26;11/05/26;PAGAMENTO POS 09/05 Q8 LEGNAGO;110,00;;133.284,35
12/05/26;12/05/26;SEPA DD VENETA ENERGIA SPA MAND.VE2026-00449 GAS METANO APRILE;11.876,90;;121.407,45
12/05/26;12/05/26;BONIFICO A FLEXIPACK NORDEST SRL ACCONTO 30 PC ORD.884 FILM PP/EVOH;12.000,00;;109.407,45
12/05/26;12/05/26;BONIFICO A STUDIO BELLOTTO E ASSOCIATI PARCELLA 44/26;3.660,00;;105.747,45
12/05/26;12/05/26;SEPA DD ZUCCHETTI SPA CANONE PAGHE WEB + RILEV. PRESENZE;312,00;;105.435,45
12/05/26;12/05/26;PAGAMENTO POS 11/05 Q8 COLOGNA V.;105,00;;105.330,45
13/05/26;13/05/26;BONIFICO A CSQA CERTIFICAZIONI SRL FT 2201/26 AUDIT BRCGS + IFS FEBBRAIO;5.490,00;;99.840,45
13/05/26;13/05/26;BONIFICO A CSQA CERTIFICAZIONI SRL FT 2201/26 AUDIT BRCGS + IFS FEBBRAIO;5.490,00;;99.840,45
13/05/26;13/05/26;BON. SEPA DA CIBUS GROSS SRL FATT 2026/214 HORECA;;6.420,00;106.260,45
13/05/26;13/05/26;PAGAMENTO POS 12/05 AUTOGRILL SOAVE NORD;46,80;;106.213,65
2026-05-13;2026-05-13;ADDEBITO CANONE SERVIZIO INCASSI RIBA;15,00;;106.198,65
13/05/26;13/05/26;SEPA DD COMUNE COLOGNA VENETA CANONE DEPURAZIONE SCARICHI IND.;640,00;;105.558,65
13/05/26;13/05/26;BONIFICO A LAVANDERIA INDUSTRIALE STELLA SRL DIVISE APRILE FT 301/26;2.150,00;;103.408,65
14/05/26;14/05/26;BONIFICO URGENTE A PAKMATIC ITALIA SRL FT 771/26 RICAMBIO VALVOLA INIEZIONE AZOTO PKM-450;1.868,40;;101.540,25
14/05/26;14/05/26;SEPA DD WIND TRE SPA BUSINESS;214,50;;101.325,75
14/05/26;14/05/26;BON. SEPA DA HORECA FORNITURE VR SRL FT 2026/209;;4.180,00;105.505,75
14/05/26;14/05/26;STORNO EFFETTO INSOLUTO SBF DISTINTA 2026/19 TRAENTE GASTRONOMIA AL PONTE SNC FT 2026/168;2.412,00;;103.093,75
14/05/26;14/05/26;COMMISSIONI € GESTIONE INSOLUTO;12,00;;103.081,75
14/05/26;14/05/26;PAGAMENTO POS 13/05 MEDIAWORLD VERONA MONITOR UFF. QUALITA;249,00;;102.832,75
15/05/26;15/05/26;BONIFICO A TRASPORTI FRIGO VENETO SRL FT 301/26 302/26;8.940,00;;93.892,75
15/05/26;15/05/26;BONIFICO A LOGISTICA ZORZI SAS FT 88/26;3.120,00;;90.772,75
15/05/26;15/05/26;SEPA DD GRENKE LOCAZIONE SRL NOLEGGIO MULTIFUNZIONE UFFICI;218,00;;90.554,75
15/05/26;15/05/26;BON. SEPA DA FAMILA NORDEST FATT 2026/181 SALDO 60GG;;11.420,00;101.974,75
15/05/26;15/05/26;PAGAMENTO POS 14/05 LEROY MERLIN VERONA;156,73;;101.818,02
18/05/26;16/05/26;ADDEBITO F24 CBI DELEGA N.2026051600017 IVA+RIT+INPS+INAIL;98.744,28;;3.073,74
18/05/26;15/05/26;PAG. RIBA SCAD. 15/05 BENEF. NORDGAS SPA;3.214,00;;-140,26
18/05/26;18/05/26;ANTICIPO FATTURE SBF DISTINTA 2026/22 ACCREDITO S.B.F.;;120.000,00;119.859,74
18/05/26;18/05/26;COMMISSIONI € E SPESE ANTICIPO SBF;350,00;;119.509,74
18/05/26;18/05/26;PAGAMENTO POS 16/05 ESSO COLOGNA V. CARTA *4471;125,00;;119.384,74
19/05/26;15/05/26;PAG. RIBA SCAD. 15/05 BENEF. RATIONAL PACK SRL;7.430,20;;111.954,54
19/05/26;15/05/26;PAG. RIBA SCAD. 15/05 BENEF. EUROGLASS BOCCACCI SRL;5.216,00;;106.738,54
19/05/26;19/05/26;SEPA DD AXA ASSICURAZIONI FLOTTA AUTOCARRI RATA MENS.;1.640,00;;105.098,54
19/05/26;19/05/26;COMMISSIONI € RIBA PASSIVE N.2 EFFETTI;3,00;;105.095,54
19/05/26;19/05/26;BONIFICO A MEDIA PARTNER SRL CANONE SITO WEB + HOSTING;380,00;;104.715,54
19/05/26;19/05/26;PAGAMENTO POS 18/05 IKEA PADOVA;189,00;;104.526,54
20/05/26;20/05/26;BONIFICO CRIOTECH IMPIANTI ACCONTO 30% ORD.2026/017 TUNNEL SURGELAZIONE SPIRALE CR-SP180;87.000,00;;17.526,54
20/05/26;20/05/26;COMMISSIONE BONIFICO DISPOSIZIONE MANUALE;2,50;;17.524,04
20/05/26;20/05/26;BON. SEPA DA CIBUS GROSS SRL FATT 2026/216;;4.850,00;22.374,04
20/05/26;20/05/26;PAGAMENTO POS 19/05 POSTE ITALIANE RACCOMANDATE A/R;27,60;;22.346,44
21/05/26;21/05/26;SEPA DD GENERALI ITALIA SPA POLIZZA RCT/RCO N.380122447 RATA SEM.;6.874,00;;15.472,44
21/05/26;21/05/26;BON. SEPA DA ALI SPA PADOVA FATT 2026/183 SALDO 60GG;;19.240,00;34.712,44
21/05/26;21/05/26;BON. SEPA DA ALI SPA PADOVA FATT 2026/183 SALDO 60GG;;19.240,00;34.712,44
21/05/26;21/05/26;BON. SEPA DA CATERING VENETO SNC FT 2026/218;;3.360,00;38.072,44
21/05/26;21/05/26;PAGAMENTO POS 20/05 ESSO COLOGNA V. CARTA *4471;122,00;;37.950,44
22/05/26;22/05/26;BONIFICO A AUTOTRASPORTI BREGOLIN FT 61/26 TRASPORTI CEDI CEREA;2.780,00;;35.170,44
22/05/26;22/05/26;ADDEBITO TELEPASS BUSINESS APRILE;164,32;;35.006,12
22/05/26;22/05/26;SEPA DD NEXI PAYMENTS SPA CANONE POS;29,00;;34.977,12
22/05/26;22/05/26;PAGAMENTO POS 21/05 METRO ITALIA VERONA;312,45;;34.664,67
25/05/26;25/05/26;BONIFICO A STUDIO ALIMENTARIA VERONA CONSULENZA HACCP MAGGIO DOTT.SSA VICENTINI;1.220,00;;33.444,67
25/05/26;25/05/26;SEPA DD VODAFONE BUSINESS;389,44;;33.055,23
25/05/26;25/05/26;BONIFICO A FRIGOEXPRESS NORDEST SRL FT 445/26;1.960,00;;31.095,23
25/05/26;25/05/26;ADDEBITO CBILL CONSORZIO DI BONIFICA LEB CONTRIBUTO 2026;512,00;;30.583,23
26/05/26;26/05/26;BON. SEPA DA ROSSETTO TRADE SPA FATT 2026/207 SALDO 60GG;;14.980,00;45.563,23
26/05/26;26/05/26;BONIFICO A OFFICINA MECCANICA ZERBINATI RIPARAZ. MULETTO FT 74/26;640,00;;44.923,23
26/05/26;26/05/26;ADDEBITO CANONE CASSETTE DI SICUREZZA;60,00;;44.863,23
26/05/26;26/05/26;PAGAMENTO POS 25/05 ESSO COLOGNA V. CARTA *4471;118,00;;44.745,23
27/05/26;27/05/26;STIP. MAGGIO 2026 - 50 DIP. DISTINTA BONIFICI N.2026/05;96.412,77;;-51.667,54
27/05/26;27/05/26;BONIFICO RIMBORSO SPESE TIROCINIO MENEGHELLO GIULIA MAGGIO;450,00;;-52.117,54
27/05/26;27/05/26;COMMISSIONI € DISTINTA STIPENDI N.50 DISPOSIZIONI;25,00;;-52.142,54
27/05/26;27/05/26;SEPA DD TIM SPA CANONE MAGGIO;486,20;;-52.628,74
28/05/26;28/05/26;ANTICIPO FATTURE SBF DISTINTA 2026/23 ACCREDITO S.B.F.;;80.000,00;27.371,26
28/05/26;28/05/26;VERSAMENTO ASSEGNO N.0044821 SU PIAZZA;;2.350,00;29.721,26
28/05/26;28/05/26;PAGAMENTO POS 27/05 AUTOGRILL MONSELICE;38,50;;29.682,76
28/05/26;28/05/26;BON. SEPA DA GASTRONOMIA AL PONTE SNC REINCASSO INSOLUTO FT 2026/168;;2.412,00;32.094,76
29/05/26;29/05/26;ADDEBITO RATA MUTUO CHIROGRAFARIO N.552981;12.500,00;;19.594,76
29/05/26;29/05/26;SEPA DD ACQUE VERONESI SCARL CONSUMI I TRIM. 2026;1.742,18;;17.852,58
29/05/26;29/05/26;BONIFICO A ANALYTICA VENETA SRL FT 912/26 TAMPONI SUPERFICI + LISTERIA;1.760,00;;16.092,58
29/05/26;29/05/26;BON. SEPA DA VALGROSS SPA FATT 2026/221;;3.940,00;20.032,58
29/05/26;29/05/26;PAGAMENTO POS 28/05 Q8 LEGNAGO;95,00;;19.937,58
29/05/26;29/05/26;PAGAMENTO POS 28/05 OFFICE STORE VERONA CANCELLERIA;97,60;;19.839,98
31/05/26;31/05/26;PAG. RIBA SCAD. 31/05 BENEF. MOLINO VENETO SPA;14.942,00;;4.897,98
31/05/26;31/05/26;PAG. RIBA SCAD. 31/05 BENEF. MOLINO VENETO SPA;14.942,15;;-10.044,17
31/05/26;31/05/26;PAG. RIBA SCAD. 31/05 BENEF. LATTERIA BASSANESE SOC.COOP.;18.212,60;;-28.256,77
31/05/26;31/05/26;PAG. RIBA SCAD. 31/05 BENEF. FLEXIPACK NORDEST SRL;16.440,00;;-44.696,77
31/05/26;31/05/26;COMMISSIONI € RIBA PASSIVE N.4 EFFETTI;6,00;;-44.702,77
31/05/26;31/05/26;COMMISSIONI € TRIM.;418,75;;-45.121,52
31/05/26;31/05/26;COMPETENZE INTERESSI DEBITORI E ONERI TRIM.;2.106,33;;-47.227,85
;;SALDO CONTABILE AL 31/05/2026;;;-47.227,85
;;SALDO LIQUIDO AL 31/05/2026;;;N/D
;;Fido di c/c accordato 250.000,00 - utilizzo anticipo fatture v. e/c separato n.104882914;;;
