Data;Linea;Turno;Pz_teorici;Pz_prodotti;Pz_conformi;Scarto_pasta_kg;Scarto_prodotto_pz;Disponibilità_%;Performance_%;Qualità_%;OEE_%;Fermi_min;Causale_fermo;Note
10/05/26;L1;T2;14400;5580;5250;40,1;330;54,2;71,5;94,1;36,5;220;rottura valvola iniezione N2 - fermo confezionatrice;vedi MOD-PR-04 + deviazione temperatura PT-104 (QA informata)
10/05/26;L2;T1;9600;7852;7803;10,7;49;93,8;87,2;99,4;81,3;30;attesa impasto;3a domenica consecutiva - 2 assenti, sostituiti da interinali
10/05/26;L2;T2;9600;6927;6703;28,6;224;87,5;82,5;96,8;69,8;60;cambio bobina film;manca personale (dimissioni), ritmo ridotto
TOT SETT 19;;;;254.165;;;5868;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
11/05/26;L1;T1;14400;9800;9133;79,5;667;93,8;72,6;93,2;63,4;30;mancanza personale;regolazione saldatura post riparazione - scarti alti
11/05/26;L1;T2;14400;11945;11661;39,5;284;90,6;91,5;97,6;81,0;45;guasto minore;
11/05/26;L2;T1;9600;6950;6815;19,4;135;100,0;72,4;98,1;71,0;0;;
11/05/26;L2;T2;9600;6985;6882;15,5;103;93,8;77,6;98,5;71,7;30;microfermate / inceppo film;
12/05/26;L1;T1;14400;11365;11276;22,2;89;99,0;79,8;99,2;78,3;5;cambio bobina film;
12/05/26;L1;T2;14400;9633;9428;26,8;205;90,2;74,2;97,9;65,5;47;microfermate / inceppo film;
12/05/26;L2;T1;9600;7433;7264;25,3;169;89,6;86,4;97,7;75,7;50;microfermate / inceppo film;
12/05/26;L2;T2;9600;7121;6855;35,8;266;98,5;75,3;96,3;71,4;7;microfermate / inceppo film;manca personale (dimissioni), ritmo ridotto
13/05/26;L1;T1;14400;11737;11472;40,1;265;93,8;86,9;97,7;79,7;30;microfermate / inceppo film;
13/05/26;L1;T2;14400;12711;12275;56,8;436;100,0;88,3;96,6;85,2;0;;
13/05/26;L2;T1;9600;7791;7735;14,6;56;89,8;90,4;99,3;80,6;49;microfermate / inceppo film;
13/05/26;L2;T2;9600;7208;7052;27,1;156;96,9;77,5;97,8;73,5;15;attesa impasto;
14/05/26;L1;T1;14400;11230;10821;56,9;409;97,9;79,6;96,4;75,1;10;mancanza personale;
14/05/26;L1;T2;14400;11545;11169;49,8;376;94,8;84,6;96,7;77,6;25;microfermate / inceppo film;
14/05/26;L2;T1;9600;7760;7473;35,1;287;100,0;80,8;96,3;77,8;0;;
14/05/26;L2;T2;9600;7236;6970;30,7;266;96,9;77,8;96,3;72,6;15;pulizia straordinaria;
15/05/26;L1;T1;14400;11832;11682;22,0;150;84,4;97,4;98,7;81,1;75;pulizia straordinaria;
15/05/26;L1;T2;14400;11572;11484;14,4;88;93,8;85,7;99,2;79,8;30;microfermate / inceppo film;
15/05/26;L2;T1;9600;7474;7420;14,1;54;87,5;89,0;99,3;77,3;60;carta forno finita;
15/05/26;L2;T2;9600;7260;7035;31,2;225;81,2;93,1;96,9;73,3;90;microfermate / inceppo film;
16/05/26;L1;T1;14400;10272;9930;38,4;342;90,6;78,7;96,7;69,0;45;aspetta impasto l2;
16/05/26;L1;T2;14400;10840;10727;14,2;113;87,5;86,0;99,0;74,5;60;pulizia straordinaria;
16/05/26;L2;T1;9600;7162;7083;13,6;79;97,9;76,2;98,9;73,8;10;pulizia straordinaria;
16/05/26;L2;T2;9600;6625;6373;35,5;252;89,6;77,0;96,2;66,4;50;cambio bobina film;
17/05/26;L2;T1;9600;7834;7636;28,8;198;93,8;87,0;97,5;79,5;30;carta forno finita;turno domenicale promo Tosano volantino
17/05/26;L2;T2;9600;7009;6896;20,5;113;97,3;75,0;98,4;71,8;13;manca muletto!!;turno domenicale promo Tosano volantino
TOT SETT 20;;;;236.330;;;5783;;;;;;;(subtotale da tab. pivot, non cancellare - L.T.)
;;;;;;;;;;;;;;
nota: Pz_teorici = velocita nominale x tempo turno. scarto pasta pesato a fine turno (bilancia magazzino). dati turno 3 non rilevati (nessun modulo);;;;;;;;;;;;;;
