SCADENZARIO EFFETTI E PAGAMENTI - GIUGNO 2026 - agg. 03/06/26 (L.Trentin);;;;;;;;;
banca di appoggio ns: UniCredit Cologna Veneta salvo diversa indicazione;;;;;;;;;
TIPO;CLIENTE/FORNITORE;N.FATT;DATA FATT;SCADENZA;IMPORTO;IVA;STATO;BANCA;NOTE
ATTIVO;Ali' S.p.A.;V/2026/0410;08/05/26;10/08/2026;9.223,84;10%;DA PRESENTARE;UniCredit;
ATTIVO;Rossetto Trade S.p.A.;V/2026/0418;14/05/26;15/08/2026;7.508,00;10%;DA PRESENTARE;UniCredit;
ATTIVO;Famila Nordest;V/2026/0428;20/05/26;20/08/2026;4.916,52;10%;DA PRESENTARE;UniCredit;
ATTIVO;F.lli Perin Forniture Bar S.n.c.;V/2026/0430;22/05/26;22/08/2026;1.204,50;10%;DA PRESENTARE;N/D;consegna fatta PRIMA del blocco - ultima, poi stop fino a rientro insoluti
ATTIVO;Cavazza Catering & Forniture;V/2026/0433;25/05/26;25/08/2026;2.108,90;10%;DA PRESENTARE;UniCredit;
PASSIVO;Molino Veneto S.p.A. (F0012);977/26;31/05/26;15/07/2026;21.664,90;4%;DA PRESENTARE;UniCredit;
PASSIVO;Oleificio Adriatico S.p.A. (F0018);2026/1248;20/05/26;05/07/2026;10.884,00;10%;DA PRESENTARE;UniCredit;nuovo listino +11% pieno
PASSIVO;Zuccherificio Padano S.r.l. (F0025);498;28/05/26;12/07/2026;3.902,14;10%;DA PRESENTARE;UniCredit;
PASSIVO;Lievital S.r.l. (F0029);2026-0754;30/05/26;14/07/2026;1.988,72;10%;DA PRESENTARE;UniCredit;
PASSIVO;Flexipack Nordest S.r.l. (F0044);FA1305;31/05/26;15/07/2026;11.412,08;22%;DA PRESENTARE;UniCredit;
PASSIVO;Nordgas S.p.A. (F0061);N/2026/5102;31/05/26;15/07/2026;4.980,55;22%;DA PRESENTARE;UniCredit;
PASSIVO;Chemifood Italia S.r.l. (F0052);2026/1088;31/05/26;15/07/2026;2.760,90;22%;DA PRESENTARE;N/D;
PASSIVO;Rational Pack S.r.l. (F0095);1388/26;31/05/26;15/07/2026;5.216,40;22%;DA PRESENTARE;UniCredit;
PASSIVO;Frigotermica Scaligera s.n.c.;2026/144;31/05/26;30/06/2026;1.550,00;22%;DA PRESENTARE;UniCredit;rata contratto celle + F-GAS
PASSIVO;Systempoint;2026/0491;31/05/26;30/06/2026;290,00;22%;PAGATO;UniCredit;canone firewall giugno SDD
PASSIVO;TIM Business;8V00221;28/05/26;16/06/2026;640,00;22%;DA PRESENTARE;UniCredit;SDD
PASSIVO;Kyocera/BNP Rental;2026-3320;31/05/26;30/06/2026;189,00;22%;DA PRESENTARE;UniCredit;noleggio multifunzione
PASSIVO;Nilfisk Rental;2026/771;31/05/26;30/06/2026;145,00;22%;DA PRESENTARE;UniCredit;disdire?? vedi appunti opex
PASSIVO;Rentokil;2026/5518;31/05/26;30/06/2026;280,00;22%;DA PRESENTARE;UniCredit;pest control rata
PASSIVO;Assiveneta Broker;quietanza;;30/06/2026;4.925,00;esente;DA PRESENTARE;UniCredit;semestralita' RCT/RCO Generali
PASSIVO;AIG Europe;quietanza;;30/06/2026;4.850,00;esente;DA PRESENTARE;UniCredit;semestralita' RC prodotto - NON toccare polizza, sinistro 2026/POL/0917 aperto
PASSIVO;Comune Cologna Veneta - TARI;rata 2/3;;31/07/2026;2.980,00;;DA PRESENTARE;UniCredit;rata luglio, la metto qui che nn si perda
PASSIVO;Edilcologna S.r.l.;44/26;25/05/26;25/06/2026;9.150,00;22%;DA PRESENTARE;UniCredit;50% avvio opere murarie basamento tunnel CR-SP180
PASSIVO;Criotech Impianti S.r.l. (F0070);FA-2026-0552;14/05/26;15/05/2026;106.140,00;22%;PAGATO;UniCredit;ACCONTO 30% tunnel (87.000+iva) - bonifico 15/05 - VERIFICARE dicitura 4.0 in fattura x Bellotto
PASSIVO;Elettromontaggi Berica;2026/210;28/05/26;28/06/2026;6.400,00;22%;DA PRESENTARE;UniCredit;50% avvio quadro elettrico tunnel
ATTIVO;Grossmarket Berica S.r.l. (HoReCa);V/2026/0212;02/03/26;01/06/2026;3.412,60;10%;INSOLUTO;UniCredit;RIGA DOPPIA? gia' sopra, lasciata x nn perdere la nota: promesso bonifico entro 15/06
PASSIVO;INAIL - rata autoliquidazione;;;16/06/2026;dentro F24;;N/D;UniCredit;compresa nell'F24 del 16, nn sommare due volte
PASSIVO;Medico competente dott.ssa Rigon;61/26;31/05/26;30/06/2026;418,00;esente;DA PRESENTARE;UniCredit;visite maggio
PASSIVO;Wurth Italia;9982371;20/05/26;20/06/2026;486,22;22%;DA PRESENTARE;UniCredit;materiale officina Dal Maso
PASSIVO;Schindler;2026/8841;15/05/26;15/06/2026;490,00;22%;DA PRESENTARE;UniCredit;semestre montacarichi Palu'
ATTIVO;Bar Trattoria Al Ponte (dettaglio);V/2026/0388;30/04/26;30/05/2026;312,40;10%;PAGATO;cassa;pagato contanti in consegna, registrato 03/06
ATTIVO;Rossetto Trade S.p.A.;V/2026/0358;28/04/26;30/07/2026;5.912,36;10%;DA PRESENTARE;UniCredit;
ATTIVO;Ali' S.p.A.;V/2026/0362;30/04/26;30/07/2026;8.804,12;10%;DA PRESENTARE;UniCredit;
ATTIVO;Famila Nordest;V/2026/0366;30/04/26;30/07/2026;5.108,60;10%;DA PRESENTARE;UniCredit;
ATTIVO;Tosano Cerea S.p.A.;V/2026/0344;28/04/26;30/07/2026;29.440,85;misto;DA PRESENTARE;UniCredit;coda promo sottocosto
PASSIVO;Veneta Energia S.p.A. (F0081);V26/02101;30/04/26;16/06/2026;25.071,45;10%;PAGATO;UniCredit;EE aprile SDD passato 01/06... no scusa 03/06
PASSIVO;Veneta Energia S.p.A. (F0081);V26/02102;30/04/26;16/06/2026;7.213,13;10%;PAGATO;UniCredit;gas aprile SDD
PASSIVO;Toyota MH (muletto);canone lug;;10/07/2026;612,00;22%;DA PRESENTARE;UniCredit;
PASSIVO;UniCredit Leasing (forno FT-02);rata 53/72;;05/07/2026;3.850,00;22%;DA PRESENTARE;UniCredit;RID
PASSIVO;Sella Leasing (PKM-450);rata 62/84;;10/07/2026;2.170,00;22%;DA PRESENTARE;UniCredit;
PASSIVO;ERARIO - F24 luglio;F24;;16/07/2026;N/D;;DA PRESENTARE;UniCredit;stima Bellotto in arrivo, dentro c'e' anche saldo/acconto imposte - PREPARARSI
riepilogo mio a matita - NON e' contabilita';;;;;;;;;
;incassi attesi giugno (se Tosano paga il 10 e i 3 insoluti rientrano);;;;154.281,29;;;;somma mia veloce, da ricontrollare
;uscite giugno (senza F24 fa gia' paura lo stesso);;;;178.902,44;;;;sbilancio ~24.621 + F24 68.414 = anticipo fatture ancora su, rientra a luglio con le RIBA Tosano di aprile
;nb insoluti totali aperti;;;;8.229,04;;;;3 posizioni: Grossmarket 3.412,60 + Perin 1.876,44 + Cavazza 2.940,00
;promemoria: appendice macchinari Generali PRIMA della consegna tunnel (settembre);;;;;;;;
