REGISTRO NON CONFORMITA' INTERNE - AURORA FOOD GROUP S.R.L. - ANNO 2026 - MOD-QA-18 rev.3 - agg. Pozzato S.
NC-2026-022;09/02/2026;interna;Linea 1;CCP3: tassello Fe 2,0 mm non rilevato in verifica ore 10:00, linea fermata, ritest ok dopo reset;L26040-L1-T1;critica;deriva sensibilita MD-3200 dopo sbalzo tensione;ricontrollo retroattivo prodotto dall'ultima verifica conforme, intervento Loma;Marchetti E.;13/02/2026;CHIUSA;2.300,00
NC-2026-023;10/02/2026;fornitore;Ricevimento merci;Film MAP Flexipack con bobina fuori specifica spessore, micro-fori in saldatura;F0044;media;lotto film non conforme;reso bobine, richiesta DoC 1935/2004 aggiornata;Zanella D.;18/02/2026;CHIUSA;540,00
NC-2026-024;11/02/2026;interna;Linea 2;Operaio senza copricapo corretto ripreso in area sfoglia da RSGQ durante giro igiene;;bassa;mancata vigilanza capoturno;richiamo, ripasso regole GMP a inizio turno;Ben Salah A.;11/02/2026;CHIUSA;
NC-2026-025;12/02/2026;interna;Linea 3;Confezioni AF-CR-0215 con brina interna anomala su 2 cartoni a campione;AF-CR-0215 L26040-L2-T2;media;sbalzo termico in trasferimento a CF-02;riduzione tempo sosta in anticella;Guerra R.;19/02/2026;CHIUSA;210,00
NC-2026-026;13/02/2026;interna;Amministrazione;Fattura F0018 Oleificio Adriatico registrata con prezzo listino vecchio (differenza +11%);F0018;bassa;listino 2026 non caricato a gestionale;nota credito richiesta, listino aggiornato (v. Trentin);Trentin L.;27/02/2026;CHIUSA;#RIF!
NC-2026-027;16/02/2026;interna;Linea 1;Registro MOD-QA-12 turno 3 compilato in blocco a fine turno anziche a frequenza prevista;L26047-L1-T3;media;prassi scorretta consolidata turno notte;richiamo formale, sensibilizzazione registrazioni in tempo reale;Marchetti E.;;APERTA;
NC-2026-028;17/02/2026;audit;Qualità;AUDIT CSQA NC minore 1: registrazioni manuali CCP2/CCP3 prive di verifica in seconda firma entro fine turno (rif. BRCGS 9 cl. 2.10.2 / IFS 5.1.2);;alta;procedura non prevede doppia firma a fine turno;revisione MOD-QA-12 e MOD-QA-07 con campo seconda firma, formazione capiturno, evidenze a CSQA entro 28 gg;Marchetti E.;02/04/2026;CHIUSA;400,00
NC-2026-029;17/02/2026;audit;Manutenzione;AUDIT CSQA NC minore 2: ricambi e attrezzi di manutenzione custoditi in area produttiva senza controllo integrita (BRCGS cl. 4.7.5);;alta;carrello ricambi tenuto a bordo linea per comodita interventi;rimozione carrello da area produttiva, armadio chiuso in officina, inventario attrezzi in/out;Dal Maso I.;02/04/2026;CHIUSA;650,00
NC-2026-030;18/02/2026;audit;Qualità;Audit CSQA raccomandazione: migliorare tracciabilita rework in scheda allergeni;;bassa;;aggiornamento matrice cross contamination previsto Q2;Marchetti E.;;IN CORSO;
NC-2026-031;19/02/2026;interna;Linea 2;Turno domenicale: assenza non programmata di 2 operai, ordine Tosano completato con 3 h straordinario extra;AF-CR-0215 L26050-L2-T1;media;copertura organico insufficiente su festivi;segnalato a HR, v. anche contestazione RSU;Zanella D.;;APERTA;960,00
NC-2026-032;20/02/2026;fornitore;Ricevimento merci;Vasetti Euroglass con 12 pezzi scheggiati su bancale, bancale segregato;F0031;alta;danno da trasporto;reso parziale, foto a fornitore, controllo 100% bancali vetro in ingresso;Faggionato N.;26/02/2026;CHIUSA;380,00
NC-2026-033;23/02/2026;interna;Linea 1;PT-104: set point corretto ma registratore carta esaurita, 2 h senza traccia cartacea (datalogger ok);L26054-L1-T2;media;scorta rotoli carta esaurita;scorta minima a bordo macchina, controllo inizio turno;Popescu I.;25/02/2026;CHIUSA;45,00
NC-2026-034;24/02/2026;interna;Laboratorio;Positivita Listeria spp. su tampone ambientale zona scarico Linea 3 (canalina), prodotto non coinvolto;;critica;ristagno acqua in canalina;sanificazione straordinaria, ritampone a 48 h negativo, aumento frequenza MOD-QA-19;Pozzato S.;28/02/2026;CHIUSA;720,00
NC-2026-035;25/02/2026;interna;Magazzino;Bancale AF-SN-0455 promo 3+1 con cartoni ammaccati da transpallet;AF-SN-0455 L26054-L1-T1;bassa;manovra errata in corsia stretta;ricondizionamento, richiamo carrellista;Faggionato N.;25/02/2026;CHIUSA;140,00
NC-2026-036;26/02/2026;reclamo;Qualità;Segnalazione Famila: sfogliatina bio con etichetta bio parzialmente coperta da bollino promo;AF-CR-0220 L26054-L2-T1;bassa;posizionamento bollino manuale impreciso;istruzione posizionamento, verifica a campione;Marchetti E.;05/03/2026;CHIUSA;90,00
NC-2026-037;27/02/2026;interna;Linea 3;MD-1800 verifica ore 22:00 saltata per cambio turno, recuperata ore 22:35;L26058-L3-T3;media;sovrapposizione consegne turno;procedura passaggio consegne con firma;Guerra R.;06/03/2026;CHIUSA;
NC-2026-038;02/03/2026;interna;Linea 1;Azoto in linea PKM-450: valore O2 residuo in confezione 2,8% oltre target 2,0% su controllo a campione;AF-SN-0450 L26061-L1-T1;media;taratura miscelatore gas;ritaratura, controllo O2 ogni 2 h per una settimana;Zanella D.;09/03/2026;CHIUSA;330,00
NC-2026-039;03/03/2026;interna;CIP;IO-05 non seguita in fase risciacquo finale, conducibilita fuori soglia al primo test;;media;operatore nuovo turno notte;affiancamento, ripetizione lavaggio;Dal Maso I.;04/03/2026;CHIUSA;160,00
NC-2026-040;2026-03-04;fornitore;Ricevimento merci;Lievito Lievital consegnato con shelf life residua 40% sotto accordo 60%;F0029;bassa;errore picking fornitore;accettazione in deroga con consumo prioritario;Pozzato S.;04/03/2026;CHIUSA;0
NC-2026-041;05/03/2026;interna;Linea 2;Ordine straordinario Tosano promo: cambio formato non pianificato, 40 min fermo per attrezzaggio;AF-CR-0215;bassa;pianificazione ordini promo tardiva;riunione settimanale produzione-commerciale;Zanella D.;12/03/2026;CHIUSA;480,00
NC-2026-042;06/03/2026;interna;Spedizioni;Ritardo consegna CE.DI. Tosano Cerea: slot ore 7:30 mancato, camion arrivato 10:52, carico respinto e riprenotato;AF-CR-0215 L26061-L2-T2;alta;vettore Trasporti Frigo Veneto partito in ritardo + coda tangenziale;contestazione a vettore, v. pratica logistica, penale Tosano in valutazione;Faggionato N.;;APERTA;1.750,00
NC-2026-043;09/03/2026;interna;Linea 1;Focaccina AF-FC-0330 con colore fondo disomogeneo turno 1, 6 teglie declassate;AF-FC-0330 L26068-L1-T1;bassa;zona forno FT-01 con resistenza degradata;segnalato a manutenzione, taratura profilo cottura;Popescu I.;13/03/2026;CHIUSA;270,00
NC-2026-044;10/03/2026;interna;Qualità;Esercitazione annuale di rintracciabilita: completata in 3 h 50 min, entro il limite di 4 h della PRO-QA-14 ma vicino alla soglia;AF-SN-0450 L26068-L1-T2;media;estrazione dati spedizioni manuale da piu fogli Excel;azione: valutare modulo tracciabilita ERP (v. progetto CSB/SAP);Marchetti E.;;IN CORSO;
NC-2026-045;11/03/2026;interna;Linea 3;Interruzione elettrica 18 min, TS-01 in ripartenza lenta, monitoraggio T cuore straordinario;L26070-L3-T2;media;microinterruzione rete Veneta Energia;verifica gruppo continuita solo su datalogger, ok;Guerra R.;13/03/2026;CHIUSA;390,00
NC-2026-046;12/03/2026;interna;Amministrazione;Scadenzario RIBA: insoluto tecnico su incasso grossista Ho.Re.Ca., ripresentato;;bassa;coordinate variate non comunicate;anagrafica aggiornata;Trentin L.;19/03/2026;CHIUSA;25,00
NC-2026-047;13/03/2026;reclamo;Qualità;Reclamo Rossetto Trade: 1 cartone AF-FC-0330 con data TMC stampata poco leggibile;AF-FC-0330 L26068-L1-T2;bassa;ugello inkjet parzialmente ostruito;pulizia programmata inkjet a ogni cambio lotto;Marchetti E.;20/03/2026;CHIUSA;70,00
NC-2026-048;16/03/2026;interna;Linea 2;Straordinari oltre soglia: superamento 250 h/anno proiettato per 6 operai Linea 2, segnalazione HR;;alta;3 domeniche consecutive promo Sottocosto Primavera Tosano;piano ferie/riposi compensativi, v. contestazione RSU, valutare interinali;Sartori F.;;APERTA;N/D
NC-2026-049;17/03/2026;interna;Linea 1;Evidenze chiusura NC audit CSQA non ancora inviate, scadenza 28 gg al 17/03 SUPERATA;;alta;carico lavoro RSGQ, raccolta firme capiturno incompleta;sollecito interno, invio evidenze poi effettuato 02/04 con scuse a CSQA;Marchetti E.;02/04/2026;CHIUSA;
NC-2026-050;18/03/2026;interna;Magazzino;Inventario CF-02: 14 cartoni AF-CR-0212 non trovati in ubicazione dichiarata;AF-CR-0212 L26054-L2-T1;media;ubicazione manuale non aggiornata dopo spostamento;ritrovati in fila 7, rettifica MOD-MAG-02;Faggionato N.;18/03/2026;CHIUSA;0
N_NC;Data;Origine;Reparto;Descrizione;Prodotto_Lotto;Gravità;Causa_radice;Azione_correttiva;Responsabile;Data_chiusura;Stato;Costo_stimato_€
NC-2026-051;19/03/2026;interna;Linea 2;Cornetto PL Tosano: peso medio confezione 8x45 al limite inferiore, aggiustato dosaggio;AF-CR-0215 L26075-L2-T2;bassa;deriva dosatrice;taratura, controllo peso rinforzato;Ben Salah A.;20/03/2026;CHIUSA;110,00
NC-2026-052;20/03/2026;fornitore;Ricevimento merci;Zucchero F0025 con sacco lacerato su bancale, sacco segregato e reso;F0025;bassa;danno da movimentazione;reso 1 sacco, nota a fornitore;Pozzato S.;20/03/2026;CHIUSA;18,00
NC-2026-053;23/03/2026;interna;Linea 3;Guanto in nitrile trovato in cassone sfrido a fine turno, conteggio guanti non torna;L26082-L3-T2;alta;mancata registrazione consegna DPI;verifica prodotto confezionato ok (MD passato), conteggio DPI a inizio/fine turno;Guerra R.;27/03/2026;CHIUSA;340,00
NC-2026-054;24/03/2026;interna;Linea 1;Verifica MD-3200 con esito registrato ma tassello non-Fe 2,5 usato al posto del previsto in sequenza;L26083-L1-T1;media;confusione tasselli in astuccio unico;astucci separati ed etichettati per tipologia;Popescu I.;31/03/2026;CHIUSA;55,00
NC-2026-055;25/03/2026;interna;R&D;Prototipo AF-SN-0470 v12: sesamo lavorato in saletta pilota senza segregazione completa utensili;AF-SN-0470 proto v12;alta;procedura allergeni non estesa a saletta R&D;utensili dedicati sesamo, aggiornamento PRPo1 e matrice allergeni;Zanchetta A.;10/04/2026;CHIUSA;220,00
NC-2026-056;26/03/2026;interna;Linea 2;4a dimissione in 5 mesi su Linea 2 (motivo: turni domenicali), copertura turni critica;;alta;carico festivo continuativo promo Tosano;v. NC-2026-048, ricerca 2 nuovi addetti, colloqui in corso;Sartori F.;;APERTA;
NC-2026-057;27/03/2026;interna;Spedizioni;Documenti di trasporto: 2 DDT con lotto trascritto a mano diverso dal lotto caricato;AF-SN-0450 L26082-L1-T1;media;trascrizione manuale in baia;controllo incrociato etichetta pallet/DDT prima della partenza;Faggionato N.;03/04/2026;CHIUSA;
NC-2026-058;30/03/2026;interna;Linea 1;Fermo PKM-450 25 min per bobina film inceppata, sfrido film 2 bobine parziali;L26089-L1-T2;bassa;giunzione bobina difettosa;segnalazione a Flexipack, controllo giunzioni in ingresso;Zanella D.;30/03/2026;CHIUSA;260,00
NC-2026-059;31/03/2026;interna;Laboratorio;Taratura termometro campione scaduta il 15/03, rilevata al riordino strumenti;;media;scadenzario tarature non consultato;taratura eseguita presso centro LAT, alert scadenzario;Pozzato S.;08/04/2026;CHIUSA;185,00
NC-2026-060;01/04/2026;interna;Linea 3;Infortunio lieve: schiacciamento dito operaio durante movimentazione stampi, 12 gg prognosi, denuncia INAIL;;alta;presa non corretta, stampi senza maniglia;v. pratica RSPP Bonato, valutazione ausili di presa, riunione sicurezza;Fantin M.;;IN CORSO;3.200,00
NC-2026-061;02/04/2026;interna;Qualità;Invio a CSQA evidenze chiusura NC audit con 16 gg di ritardo sulla scadenza;;media;v. NC-2026-049;accettate da CSQA con nota, richiamo a pianificazione scadenze enti;Marchetti E.;09/04/2026;CHIUSA;
NC-2026-062;03/04/2026;fornitore;Ricevimento merci;Bombole CO2 Nordgas: 1 bombola con cappellotto mancante, respinta;F0061;media;controllo pre-consegna fornitore carente;sostituzione bombola, nota a Nordgas;Faggionato N.;07/04/2026;CHIUSA;0
NC-2026-063;06/04/2026;interna;Linea 2;Domenica promo: pulizia di fine turno abbreviata per consegna lunedi ore 6, tampone lunedi conforme ma fuori prassi;L26096-L2-T1;media;pressione tempi ordini straordinari Tosano;ribadita inderogabilita sanificazione completa, rimodulato orario carico;Ben Salah A.;10/04/2026;CHIUSA;
NC-2026-064;07/04/2026;interna;Linea 1;Snack promo 3+1: fascetta promozionale storta su circa 300 confezioni, ricondizionate;AF-SN-0455 L26096-L1-T2;bassa;applicatore fascette non registrato;registrazione applicatore;Popescu I.;08/04/2026;CHIUSA;190,00
NC-2026-065,08/04/2026,reclamo,Qualità,Reclamo consumatore Verona, acquisto presso Tosano, cornetto con farcitura scarsa, richiesta rimborso, gestito con buono omaggio,AF-CR-0212 L26089-L2-T1,bassa,dosatrice farcitura a inizio rampa,verifica dosaggio inizio produzione,Marchetti E.,15/04/2026,CHIUSA,40,00
NC-2026-066;09/04/2026;interna;Magazzino;Scorta film MAP sotto punto di riordino senza ordine emesso;F0044;bassa;richiesta d'acquisto ferma in approvazione;sblocco RdA, soglia riordino automatica a gestionale;Trentin L.;14/04/2026;CHIUSA;
NC-2026-067;10/04/2026;interna;Linea 3;TS-01 allarme sbrinamento ricorrente, 3 eventi in settimana, capacita ridotta;;alta;obsolescenza impianto (v. sostituzione Criotech CR-SP180);manutenzione tampone, pianificazione installazione nuovo tunnel;Dal Maso I.;;IN CORSO;2.600,00
NC-2026-068;13/04/2026;interna;Linea 1;CCP2: registrazione MOD-QA-12 ore 18:00 mancante, datalogger conforme, seconda firma assente;L26103-L1-T2;media;nuova prassi doppia firma non ancora assimilata;richiamo capiturno, monitoraggio settimanale RSGQ;Marchetti E.;24/04/2026;CHIUSA;
NC-2026-069;14/04/2026;fornitore;Ricevimento merci;Farina W300 Molino Veneto: alveogramma fuori specifica (W 265 vs min 280) su un lotto;F0012;media;lotto fornitore non conforme;reso, richiesta certificato analisi lotto sostitutivo;Pozzato S.;21/04/2026;CHIUSA;450,00
NC-2026-070;15/04/2026;interna;Linea 2;Assenza improvvisa capoturno, turno coperto da Zanella, registrazioni igiene in ritardo;L26105-L2-T1;bassa;organico corto (v. dimissioni);matrice polivalenze aggiornata;Zanella D.;17/04/2026;CHIUSA;
NC-2026-071;16/04/2026;interna;CIP;Consumo acido nitrico anomalo +18% sul mese, sospetta perdita su linea dosaggio;;media;raccordo dosatore trafilante;sostituzione raccordo, lettura contatori settimanale;Dal Maso I.;22/04/2026;CHIUSA;290,00
NC-2026-072;17/04/2026;interna;Spedizioni;Slot Cerea ore 7:00 mancato per seconda volta nel trimestre, arrivo 8:40, scarico accettato con riserva;AF-CR-0215 L26105-L2-T2;media;partenza ritardata carico notturno;v. NC-2026-042, anticipata chiusura carico a ore 5:30;Faggionato N.;28/04/2026;CHIUSA;600,00
NC-2026-073;20/04/2026;interna;Linea 1;Micro-fermate ripetute PKM-450 (7 in un turno), vibrazione anomala zona gruppo saldante;L26110-L1-T1;media;usura componenti gruppo saldante;ordine ricambi Pakmatic, intervento programmato;Dal Maso I.;;IN CORSO;820,00
NC-2026-074;21/04/2026;interna;Laboratorio;Campioni panel test cornetto premium conservati fuori range prima dell'assaggio;AF-CR-0212;bassa;frigo saletta panel scollegato per lavori;ripetizione sessione panel;Zanchetta A.;24/04/2026;CHIUSA;130,00
NC-2026-075;22/04/2026;reclamo;Qualità;Segnalazione Anna Perbellini (Tosano QA): 2 pallet con etichetta logistica SSCC non scansionabile al CE.DI.;AF-SN-0450 L26110-L1-T2;media;stampante etichette pallet con nastro esaurito a meta stampa;ristampa e ricontrollo scansione 100% prima del carico;Faggionato N.;29/04/2026;CHIUSA;220,00
NC-2026-076;23/04/2026;interna;Linea 2;Ordine promo settimana 19: pianificate 3 domeniche consecutive, capienza straordinari esaurita per 4 operai;;alta;volumi promo oltre capacita Linea 2;v. NC-2026-048, richiesta a Fantin di rivedere accettazione volumi;Zanella D.;;APERTA;
NC-2026-077;24/04/2026;interna;Linea 3;Cartoni AF-CR-0215 con punto di colla debole, 1 cartone aperto in movimentazione;AF-CR-0215 L26113-L2-T1;bassa;colla fredda sotto temperatura di esercizio;preriscaldo colla, controllo primo cartone;Guerra R.;27/04/2026;CHIUSA;85,00
NC-2026-078;27/04/2026;interna;Magazzino;FEFO non rispettato su film MAP: bobine nuove usate prima delle vecchie;F0044;bassa;bancali sovrapposti in area MOCA;riorganizzazione area, etichetta data ingresso in evidenza;Faggionato N.;30/04/2026;CHIUSA;
NC-2026-079;28/04/2026;interna;Linea 1;Test tenuta MAP a campione: 1 confezione su 30 con perdita lenta, lotto ricontrollato al 10%;AF-SN-0450 L26117-L1-T2;media;pressione barra saldante irregolare (v. NC-2026-073);intervento su gruppo saldante anticipato;Zanella D.;05/05/2026;CHIUSA;410,00
NC-2026-080;29/04/2026;interna;Amministrazione;Tensione di cassa: acconto Criotech 30% (87.000) in scadenza maggio con incasso Tosano marzo atteso 10/06, attivato anticipo fatture;;alta;sfasamento incassi RIBA 90 gg vs uscite CapEx;v. Trentin/Bertoldi, utilizzo linea anticipo fatture UniCredit;Trentin L.;;APERTA;N/D
NC-2026-081;30/04/2026;interna;Linea 2;Registro formazione: 5 attestati HACCP in scadenza aprile non rinnovati;;media;calendario corsi slittato per turni promo;sessione recupero pianificata 21/05 (v. MOD-HR-11);Sartori F.;;APERTA;750,00
NC-2026-082;04/05/2026;interna;Linea 1;Controllo O2 residuo confezioni: 2,4% su target 2,0% a inizio turno, ritarato in 20 min;AF-SN-0450 L26124-L1-T1;bassa;deriva flussimetro azoto;ritaratura, annotazione su registro macchina;Popescu I.;04/05/2026;CHIUSA;60,00
TOTALE COSTI GEN-APR (parziale, v. foglio riepilogo);;;;;;;;;;;;24.815,00
NC-2026-083;05/05/2026;interna;Direzione;Richiesta buyer Tosano (Rossi M.): -4,5% listino 2026/27 + listing fee 12.000 su AF-SN-0455, margine AF-CR-0215 proiettato sotto zero;AF-CR-0215 / AF-SN-0455;alta;pressione negoziale canale GDO;analisi margini in corso, v. verbale incontro 05/05, decisione entro giugno;Bertoldi S.;;APERTA;12.000,00
NC-2026-084;06/05/2026;fornitore;Ricevimento merci;Consegna Nordgas azoto/CO2: DDT con codice serbatoio corretto ma certificato analisi consegnato solo in copia sbiadita;F0061;bassa;copia da fascicolo vettore;richiesto originale via PEC, ricevuto 08/05;Faggionato N.;08/05/2026;CHIUSA;
NC-2026-085;07/05/2026;interna;Linea 3;MD-1800: falso scarto ripetuto su 11 confezioni, ricontrollate ok;AF-CR-0215 L26127-L2-T2;bassa;prodotto molto freddo, effetto prodotto non compensato;compensazione effetto prodotto aggiornata;Guerra R.;07/05/2026;CHIUSA;95,00
NC-2026-086;08/05/2026;interna;Manutenzione;Segnalazione Dal Maso: valvola iniezione azoto PKM-450 trafila, ricambio originale Pakmatic in arrivo 15/05, si decide di proseguire la produzione con monitoraggio;;alta;usura valvola oltre vita utile;ordine ricambio urgente F0077, controllo O2 residuo ogni ora fino a sostituzione;Dal Maso I.;;APERTA;1.100,00
NC-2026-087;08/05/2026;interna;Linea 2;Turno domenicale 10/05 confermato per promo settimana 20 nonostante organico corto;;media;ordini straordinari Tosano settimane 19-21;v. NC-2026-076;Zanella D.;;APERTA;
NC-2026-088;10/05/2026;interna;Linea 1;DEVIAZIONE CCP2: PT-104 sotto 72,0 gradi dalle 14:18 alle 14:47 (minimo 68,9) da datalogger, turno 2. Sul cartaceo MOD-QA-12 risulta "74,5 conforme": discrepanza carta/datalogger in accertamento;AF-SN-0450 L26130-L1-T2;critica;in accertamento: calo vapore PT-104 + registrazione cartacea non veritiera, seconda firma assente;lotto L26130-L1-T2 BLOCCATO, riesame datalogger, colloquio con operatore turno 2, v. NC-2026-092;Marchetti E.;;APERTA;N/D
NC-2026-089;10/05/2026;interna;Linea 1;Rottura valvola azoto PKM-450 ore 15:05, fermo macchina 3 h 40 min. Riparazione d'emergenza con guarnizione non originale (azzurra) prelevata dal carrello ricambi a bordo linea. Su MOD-PR-04 annotato solo "sostituita guarnizione, ripartiti";AF-SN-0450 L26130-L1-T2;critica;mancata sostituzione preventiva valvola (v. NC-2026-086), ricambio non originale, carrello ricambi ancora in area produttiva nonostante chiusura NC audit;sostituzione con ricambio originale al 15/05, verifica integrita guarnizione provvisoria, richiamo procedura MOD-PR-04;Dal Maso I.;;APERTA;4.900,00
NC-2026-090;11/05/2026;interna;Qualità;Verifica straordinaria lotto L26130: riprocesso non effettuato, prodotto gia confezionato e in parte spedito prima dell'analisi datalogger;AF-SN-0450 L26130-L1-T2;critica;lettura datalogger PT-104 solo a fine settimana, non a fine turno;lettura datalogger giornaliera obbligatoria, blocco spedizioni residuo lotto;Marchetti E.;;APERTA;
NC-2026-091;12/05/2026;reclamo;Qualità;RECLAMO da form sito web: sig.ra M.G. (Bussolengo VR) segnala frammento di plastica dura azzurra in snack AF-SN-0450 lotto L26130 acquistato presso Tosano Bussolengo. Aperta gestione MOD-QA-31, richiesto campione e foto;AF-SN-0450 L26130-L1-T2;critica;presunta origine: guarnizione azzurra non originale PKM-450 (v. NC-2026-089), materiale non metallico non rilevabile da MD-3200;raccolta campione, blocco lotti L26130 e L26131, informativa a Tosano QA (Perbellini), valutazione ritiro cautelativo;Marchetti E.;;APERTA;N/D
