ATTENZIONE: revisione 2 - SUPERATA dal 01/03/2026 - tenuta solo per storico (S.B.);;;;;;;;;;;;;;;;;
LISTINO CANALE GDO+FRESCO — rev.3 del 12/01/2026 (agg. L.Trentin — NON girare ai clienti, versione interna con costi);;;;;;;;;;;;;;;;;
Cliente;Insegna;Cod_Art;Descrizione;EAN;Pz_cartone;Prezzo_lordo;Sconto_1;Sconto_2;Prezzo_netto;SFA_%;Contributo_promo_€;Costo_industriale;Margine_€;Margine_%;Validità_dal;Validità_al;Note
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;5;0,9196;1,5;0,0290;0,6873;0,2323;25,3%;01/01/2026;31/03/2026;
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;5;0,9196;1,5;0,0290;0,6873;0,2323;25,3%;01/04/2026;30/06/2026;
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;5;0,9196;1,5;0,0290;0,6873;0,2323;25,3%;01-lug-26;30-set-26;
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;20;5;0,9196;1,5;0,0290;0,6873;0,2323;25,3%;01-ott-26;31-dic-26;
Alì S.p.A.;Alìper;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;20;5;2,2748;1,5;;1,8586;0,4162;18,3%;01/01/2026;30/06/2026;
Alì S.p.A.;Alìper;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;20;5;2,2748;1,5;;1,8586;0,4162;18,3%;01/07/2026;31/12/2026;
Alì S.p.A.;Alìper;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;5;1,1810;1,5;0,0194;0,9099;0,2710;23,0%;01/01/2026;30/06/2026;
Alì S.p.A.;Alìper;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;5;1,1810;1,5;0,0194;0,9099;0,2710;23,0%;01/07/2026;31/12/2026;
Alì S.p.A.;Alìper;AF-CR-0220;Sfogliatina bio ai cereali;8034123452202;10;2,1296;20;0,5;1,6940;1,0;;1,2681;0,4259;25,1%;01/03/2026;31/12/2026;inserita a marzo, 12 pdv test
Alì S.p.A.;Alìper;AF-FC-0330;PROMO volantino giugno;8034123453308;10;1,5488;20;10;1,1132;;0,0387;0,9099;0,2033;18,3%;08/06/2026;21/06/2026;accordo P.Zampieri tel. 14/04
Alì S.p.A.;Alìper;AF-SN-0470;Snack paprika e semi - IN SVILUPPO;N/D;12;;;;N/D;;;;#DIV/0!;;;;campioni promessi da Zanchetta x settembre
Rossetto Trade S.p.A.;Rossetto;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;18;5;0,9390;1,5;;0,6873;0,2517;26,8%;01/01/2026;30/06/2026;
Rossetto Trade S.p.A.;Rossetto;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;18;5;0,9390;1,5;;0,6873;0,2517;26,8%;01/07/2026;31/12/2026;
Rossetto Trade S.p.A.;Rossetto;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;20;7;2,2264;1,5;;1,8586;0,3678;16,5%;01/01/2026;30/06/2026;
Rossetto Trade S.p.A.;Rossetto;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;20;7;2,2264;1,5;;1,8586;0,3678;16,5%;01/07/2026;31/12/2026;
Rossetto Trade S.p.A.;Rossetto;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;3;1,2003;1,5;;0,9099;0,2904;24,2%;01/01/2026;30/06/2026;
Rossetto Trade S.p.A.;Rossetto;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;3;1,2003;1,5;;0,9099;0,2904;24,2%;01/07/2026;31/12/2026;
Cliente;Insegna;Cod_Art;Descrizione;EAN;Pz_cartone;Prezzo_lordo;Sc_1;Sc_2;Netto;SFA;Promo_€;Costo_ind;Marg_€;Marg_%;Dal;Al;Note
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,1296;20;2,3;1,6650;2,0;0,0290;1,2681;0,3969;23,8%;01/01/2026;31/03/2026;referenza bio linea 2
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,1296;20;2,3;1,6650;2,0;0,0290;1,2681;0,3969;23,8%;01/04/2026;30/06/2026;
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,1296;20;2,3;1,6650;2,0;0,0290;1,2681;0,3969;23,8%;01/07/2026;30/09/2026;
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali (ICEA IT BIO 006);8034123452202;10;2,1296;20;2,3;1,6650;2,0;0,0290;1,2681;0,3969;23,8%;01/10/2026;31/12/2026;
Famila Nordest;Famila;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;20;6,5;2,2458;2,0;;1,8586;0,3872;17,2%;01/01/2026;30/06/2026;
Famila Nordest;Famila;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;20;6,5;2,2458;2,0;;1,8586;0,3872;17,2%;01/07/2026;31/12/2026;
Famila Nordest;Famila;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;2,3;1,2100;2,0;;0,9099;0,3001;24,8%;01/01/2026;30/06/2026;
Famila Nordest;Famila;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;20;2,3;1,2100;2,0;;0,9099;0,3001;24,8%;01/07/2026;31/12/2026;
Famila Nordest;Famila;AF-CR-0220;PROMO bio week;8034123452202;10;2,1296;20;8;1,5682;;0,0484;1,2681;0,3001;19,1%;14/09/2026;27/09/2026;da confermare con capo area
TOTALE PARZIALE (righe sopra);;;;;;;;;;;;;;#RIF!;;;formula rotta dopo inserimento righe sim
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;15;4;0,9874;;;0,6873;0,3001;30,4%;01/01/2026;30/06/2026;consegna franco ns stabilimento
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;15;4;0,9874;;;0,6873;0,3001;30,4%;01/07/2026;31/12/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;15;6;2,4006;;;1,8586;0,5421;22,6%;01/01/2026;30/06/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;15;6;2,4006;;;1,8586;0,5421;22,6%;01/07/2026;31/12/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;15;3;1,2778;;;0,9099;0,3678;28,8%;01/01/2026;30/06/2026;min. ordine 15 cartoni
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;15;3;1,2778;;;0,9099;0,3678;28,8%;01/07/2026;31/12/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;15;2;1,0067;;;0,6873;0,3194;31,7%;01/01/2026;30/06/2026;pagamento RB 60
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,2100;15;2;1,0067;;;0,6873;0,3194;31,7%;01/07/2026;31/12/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;15;4,4;2,4394;;;1,8586;0,5808;23,8%;01/01/2026;30/06/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,0008;15;4,4;2,4394;;;1,8586;0,5808;23,8%;01/07/2026;31/12/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;15;1,5;1,2971;;;0,9099;0,3872;29,9%;01/01/2026;30/06/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5488;15;1,5;1,2971;;;0,9099;0,3872;29,9%;01/07/2026;31/12/2026;chiedono il bio, girato a Zanchetta
;;;;;;;;;;;;;;;;;
### righe sotto = REV.2 (ottobre 2025) rimaste dal file vecchio - L.T. dice di cancellarle ma le tengo finche' non e' chiusa la trattativa;;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,1616;20;10;0,8325;2,0;0,0387;0,6582;0,1742;20,9%;01/07/2025;31/12/2025;PREZZO REV.2 - NON USARE
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;Cornetto Premium PL Tosano 8x45g surg.;8034123452158;10;2,3038;20;6;1,7327;1,5;;1,5875;0,1452;8,4%;01/07/2025;31/12/2025;PREZZO REV.2 - NON USARE (nota: qui il margine era ancora decente)
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,5004;20;8;1,1035;2,0;0,0290;0,8712;0,2323;21,1%;01/07/2025;31/12/2025;PREZZO REV.2 - NON USARE
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,1616;20;5;0,8809;1,5;0,0290;0,6582;0,2226;25,3%;01/07/2025;31/12/2025;rev.2
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali;8034123452202;10;2,0812;20;2;1,6359;2,0;;1,2197;0,4162;25,4%;01/07/2025;31/12/2025;rev.2
Rossetto Trade S.p.A.;Rossetto;AF-CR-0212;Cornetto Premium burro 6x50g;8034123452127;8;2,9040;20;7;2,1586;1,5;;1,7908;0,3678;17,0%;01/07/2025;31/12/2025;rev.2
;;;;;;;;;;;;;;;;;
### condizioni quadro (promemoria commerciale, non toccare);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;-;pagamento RIBA 90 gg dffm + sconto merce 2% in fattura + contributo promo 4% annuo;;;;;;;;;;;;;;da accordo quadro 18/12/2025
Alì S.p.A.;Alìper;-;pagamento RIBA 60 gg dffm;;;;;;;;;;;;;;
Rossetto Trade S.p.A.;Rossetto;-;RIBA 60 gg;;;;;;;;;;;;;;
Famila Nordest;Famila;-;BB 60 gg dffm;;;;;;;;;;;;;;
F.lli Girardello S.r.l.;Ho.Re.Ca.;-;RB 30/60;;;;;;;;;;;;;;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;-;RB 60;;;;;;;;;;;;;;affidamento interno max 15.000
;;;;;;;;;;;;;;;;;
### listino a scaffale consigliato (raccolto da Zampieri nei giri pdv - INDICATIVO);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;prezzo scaffale rilevato;8034123450123;;;;;1,4423;;;;;;apr-26;;rilevato pdv Bussolengo 18/04
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;prezzo scaffale PROMO sottocosto;8034123450123;;;;;0,9583;;;;;;mag-26;;volantino sett.19-21
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;prezzo scaffale rilevato;8034123452158;;;;;2,8943;;;;;;apr-26;;
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;prezzo scaffale rilevato;8034123453308;;;;;1,8295;;;;;;apr-26;;gira poco a sto prezzo
Alì S.p.A.;Alìper;AF-SN-0450;prezzo scaffale rilevato;8034123450123;;;;;1,5004;;;;;;apr-26;;
Alì S.p.A.;Alìper;AF-CR-0212;prezzo scaffale rilevato;8034123452127;;;;;3,3783;;;;;;mar-26;;
Famila Nordest;Famila;AF-CR-0220;prezzo scaffale rilevato;8034123452202;;;;;2,7007;;;;;;apr-26;;
;;;;;;;;;;;;;;;;;
### dettaglio sconti promo concordati 2026 (integrazione righe sopra);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;quota promo volantino n.1 feb;8034123450123;12;1,2100;20;13;0,8422;;0,0484;0,6873;0,1549;18,4%;09/02/2026;22/02/2026;chiusa - consuntivata
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;quota promo volantino n.2 sottocosto;8034123450123;12;1,2100;20;15;0,8228;;0,0581;0,6873;0,1355;16,5%;04/05/2026;24/05/2026;in corso
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;quota promo volantino n.1 feb;8034123452158;10;2,3716;20;9;1,7230;;0,0387;1,7230;0,0000;0,0%;09/02/2026;22/02/2026;chiusa - margine zero, mai piu' cosi (nota S.B.)
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;quota promo proposta settembre;8034123453308;10;1,5488;20;12;1,0938;;0,0387;0,9099;0,1839;16,8%;07/09/2026;20/09/2026;PROPOSTA x salvare la referenza dal delisting - da presentare il 19/5
Alì S.p.A.;Alìper;AF-SN-0450;quota promo aprile;8034123450123;12;1,2100;20;9;0,8809;;0,0387;0,6873;0,1936;22,0%;13/04/2026;26/04/2026;chiusa
Alì S.p.A.;Alìper;AF-SN-0450;quota promo aprile;8034123450123;12;1,2100;20;9;0,8809;;0,0387;0,6873;0,1936;22,0%;13/04/2026;26/04/2026;riga doppia? verificare
Rossetto Trade S.p.A.;Rossetto;AF-SN-0450;quota promo giugno;8034123450123;12;1,2100;18;9;0,9002;;0,0290;0,6873;0,2130;23,7%;01/06/2026;14/06/2026;da confermare
Famila Nordest;Famila;AF-CR-0212;quota promo maggio;8034123452127;8;3,0008;20;11;2,1393;;0,0484;1,8586;0,2807;13,1%;11/05/2026;24/05/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-CR-0212;sconto extra fiera;8034123452127;8;3,0008;15;9;2,3232;;;1,8586;0,4646;20,0%;18/05/2026;31/05/2026;fiera Ho.Re.Ca. PD
;;;;;;;;;;;;;;;;;
### appunti liberi in coda (Zampieri/Trentin);;;;;;;;;;;;;;;;;
nota;;AF-CR-0215;il costo 1,7230 e' di GENNAIO. burro +20% da allora (Latteria Bassanese) e girasole +11% (lettera Oleificio Adriatico) ? costo vero stimato 1,8005-1,8295. col -4,5% chiesto dal buyer si va sotto di 10-13 cent A PEZZO;;;;;;;;;;;;;;L.T. 06/05/26
nota;;AF-SN-0455;se listing 12.000 su 24 mesi e 65.000 pz/anno = 0,0923 €/pz di costo in piu' i primi 2 anni. col margine a 0,0484 NON rientra. serve o piu' prezzo o piu' volume;;;;;;;;;;;;;;L.T. 06/05/26 (conto veloce, da rifare bene)
nota;;AF-FC-0330;proposta promo settembre inserita sopra. se Tosano delista comunque, capacita' linea 1 libera ? spingere su Alì?;;;;;;;;;;;;;;P.Z.
nota;;tutte;ricordarsi SFA in fase di budget: Tosano 2% Alì 1,5% Famila 2% - il file budget di Luisa li ha gia' dentro, NON contarli due volte;;;;;;;;;;;;;;
