LISTINO CANALE GDO+FRESCO — rev.3 del 12/01/2026 (agg. L.Trentin — NON girare ai clienti, versione interna con costi);;;;;;;;;;;;;;;;;
Cliente;Insegna;Cod_Art;Descrizione;EAN;Pz_cartone;Prezzo_lordo;Sconto_1;Sconto_2;Prezzo_netto;SFA_%;Contributo_promo_€;Costo_industriale;Margine_€;Margine_%;Validità_dal;Validità_al;Note
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;15;3;1,32;;;0,94;0,38;28,8%;01/01/2026;30/06/2026;min. ordine 15 cartoni
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;15;3;1,32;;;0,94;0,38;28,8%;01/07/2026;31/12/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;15;2;1,04;;;0,71;0,33;31,7%;01/01/2026;30/06/2026;pagamento RB 60
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,25;15;2;1,04;;;0,71;0,33;31,7%;01/07/2026;31/12/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;15;4,4;2,52;;;1,92;0,60;23,8%;01/01/2026;30/06/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-CR-0212;Cornetto Premium burro 6x50g surg.;8034123452127;8;3,10;15;4,4;2,52;;;1,92;0,60;23,8%;01/07/2026;31/12/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;15;1,5;1,34;;;0,94;0,40;29,9%;01/01/2026;30/06/2026;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,60;15;1,5;1,34;;;0,94;0,40;29,9%;01/07/2026;31/12/2026;chiedono il bio, girato a Zanchetta
;;;;;;;;;;;;;;;;;
### righe sotto = REV.2 (ottobre 2025) rimaste dal file vecchio - L.T. dice di cancellarle ma le tengo finche' non e' chiusa la trattativa;;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,20;20;10;0,86;2,0;0,04;0,68;0,18;20,9%;01/07/2025;31/12/2025;PREZZO REV.2 - NON USARE
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;Cornetto Premium PL Tosano 8x45g surg.;8034123452158;10;2,38;20;6;1,79;1,5;;1,64;0,15;8,4%;01/07/2025;31/12/2025;PREZZO REV.2 - NON USARE (nota: qui il margine era ancora decente)
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;Focaccina olio EVO 2x90g ATM;8034123453308;10;1,55;20;8;1,14;2,0;0,03;0,90;0,24;21,1%;01/07/2025;31/12/2025;PREZZO REV.2 - NON USARE
Alì S.p.A.;Alìper;AF-SN-0450;Snack salato rustico multicereali 100g ATM;8034123450123;12;1,20;20;5;0,91;1,5;0,03;0,68;0,23;25,3%;01/07/2025;31/12/2025;rev.2
Famila Nordest;Famila;AF-CR-0220;Sfogliatina bio ai cereali;8034123452202;10;2,15;20;2;1,69;2,0;;1,26;0,43;25,4%;01/07/2025;31/12/2025;rev.2
Rossetto Trade S.p.A.;Rossetto;AF-CR-0212;Cornetto Premium burro 6x50g;8034123452127;8;3,00;20;7;2,23;1,5;;1,85;0,38;17,0%;01/07/2025;31/12/2025;rev.2
;;;;;;;;;;;;;;;;;
### condizioni quadro (promemoria commerciale, non toccare);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;-;pagamento RIBA 90 gg dffm + sconto merce 2% in fattura + contributo promo 4% annuo;;;;;;;;;;;;;;da accordo quadro 18/12/2025
Alì S.p.A.;Alìper;-;pagamento RIBA 60 gg dffm;;;;;;;;;;;;;;
Rossetto Trade S.p.A.;Rossetto;-;RIBA 60 gg;;;;;;;;;;;;;;
Famila Nordest;Famila;-;BB 60 gg dffm;;;;;;;;;;;;;;
F.lli Girardello S.r.l.;Ho.Re.Ca.;-;RB 30/60;;;;;;;;;;;;;;
Ca.Di.Al. S.n.c.;Ho.Re.Ca.;-;RB 60;;;;;;;;;;;;;;affidamento interno max 15.000
;;;;;;;;;;;;;;;;;
### listino a scaffale consigliato (raccolto da Zampieri nei giri pdv - INDICATIVO);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;prezzo scaffale rilevato;8034123450123;;;;;1,49;;;;;;apr-26;;rilevato pdv Bussolengo 18/04
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;prezzo scaffale PROMO sottocosto;8034123450123;;;;;0,99;;;;;;mag-26;;volantino sett.19-21
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;prezzo scaffale rilevato;8034123452158;;;;;2,99;;;;;;apr-26;;
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;prezzo scaffale rilevato;8034123453308;;;;;1,89;;;;;;apr-26;;gira poco a sto prezzo
Alì S.p.A.;Alìper;AF-SN-0450;prezzo scaffale rilevato;8034123450123;;;;;1,55;;;;;;apr-26;;
Alì S.p.A.;Alìper;AF-CR-0212;prezzo scaffale rilevato;8034123452127;;;;;3,49;;;;;;mar-26;;
Famila Nordest;Famila;AF-CR-0220;prezzo scaffale rilevato;8034123452202;;;;;2,79;;;;;;apr-26;;
;;;;;;;;;;;;;;;;;
### dettaglio sconti promo concordati 2026 (integrazione righe sopra);;;;;;;;;;;;;;;;;
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;quota promo volantino n.1 feb;8034123450123;12;1,25;20;13;0,87;;0,05;0,71;0,16;18,4%;09/02/2026;22/02/2026;chiusa - consuntivata
Tosano Cerea S.p.A.;Tosano;AF-SN-0450;quota promo volantino n.2 sottocosto;8034123450123;12;1,25;20;15;0,85;;0,06;0,71;0,14;16,5%;04/05/2026;24/05/2026;in corso
Tosano Cerea S.p.A.;Tosano;AF-CR-0215;quota promo volantino n.1 feb;8034123452158;10;2,45;20;9;1,78;;0,04;1,78;0,00;0,0%;09/02/2026;22/02/2026;chiusa - margine zero, mai piu' cosi (nota S.B.)
Tosano Cerea S.p.A.;Tosano;AF-FC-0330;quota promo proposta settembre;8034123453308;10;1,60;20;12;1,13;;0,04;0,94;0,19;16,8%;07/09/2026;20/09/2026;PROPOSTA x salvare la referenza dal delisting - da presentare il 19/5
Alì S.p.A.;Alìper;AF-SN-0450;quota promo aprile;8034123450123;12;1,25;20;9;0,91;;0,04;0,71;0,20;22,0%;13/04/2026;26/04/2026;chiusa
Alì S.p.A.;Alìper;AF-SN-0450;quota promo aprile;8034123450123;12;1,25;20;9;0,91;;0,04;0,71;0,20;22,0%;13/04/2026;26/04/2026;riga doppia? verificare
Rossetto Trade S.p.A.;Rossetto;AF-SN-0450;quota promo giugno;8034123450123;12;1,25;18;9;0,93;;0,03;0,71;0,22;23,7%;01/06/2026;14/06/2026;da confermare
Famila Nordest;Famila;AF-CR-0212;quota promo maggio;8034123452127;8;3,10;20;11;2,21;;0,05;1,92;0,29;13,1%;11/05/2026;24/05/2026;
F.lli Girardello S.r.l.;Ho.Re.Ca.;AF-CR-0212;sconto extra fiera;8034123452127;8;3,10;15;9;2,40;;;1,92;0,48;20,0%;18/05/2026;31/05/2026;fiera Ho.Re.Ca. PD
;;;;;;;;;;;;;;;;;
### appunti liberi in coda (Zampieri/Trentin);;;;;;;;;;;;;;;;;
nota;;AF-CR-0215;il costo 1,78 e' di GENNAIO. burro +20% da allora (Latteria Bassanese) e girasole +11% (lettera Oleificio Adriatico) → costo vero stimato 1,86-1,89. col -4,5% chiesto dal buyer si va sotto di 10-13 cent A PEZZO;;;;;;;;;;;;;;L.T. 06/05/26
nota;;AF-SN-0455;se listing 12.000 su 24 mesi e 65.000 pz/anno = 0,09 €/pz di costo in piu' i primi 2 anni. col margine a 0,05 NON rientra. serve o piu' prezzo o piu' volume;;;;;;;;;;;;;;L.T. 06/05/26 (conto veloce, da rifare bene)
nota;;AF-FC-0330;proposta promo settembre inserita sopra. se Tosano delista comunque, capacita' linea 1 libera → spingere su Alì?;;;;;;;;;;;;;;P.Z.
nota;;tutte;ricordarsi SFA in fase di budget: Tosano 2% Alì 1,5% Famila 2% - il file budget di Luisa li ha gia' dentro, NON contarli due volte;;;;;;;;;;;;;;
