Macchina;Componente;Cod_ricambio;Tipo_intervento;Frequenza;Ultima_esec;Prossima_scad;Esecutore;Durata_h;Costo_EUR;Stato;N_OdL;Note
MUL-01;Controllo forche e catene;;verifica trim.;3 mesi;10/03/26;2026-06-10;Carrelli Nordest Srl;1;90,00;OK;;
MUL-01;Batteria trazione - livelli;;rabbocco;1 mese;2026-04-29;29-mag-26;interno (Bissoli);0,5;;OK;;
MUL-02;Muletto elettrico - tagliando;;tagliando;6 mesi;14-ott-25;14/04/26;Carrelli Nordest Srl;3;240,00;SCADUTO;;muletto usato in cella CF-02, condensa
MUL-02;Controllo forche e catene;;verifica trim.;3 mesi;26/02/26;2026-05-26;Carrelli Nordest Srl;1;90,00;OK;;
MUL-02;Batteria trazione - livelli;;rabbocco;1 mese;2026-05-02;02-giu-26;interno (Bissoli);0,5;;OK;;
MUL-03;Transpallet elettrico - tagliando;;tagliando;12 mesi;01-dic-25;01/12/26;Carrelli Nordest Srl;2;180,00;OK;;
MUL-03;Ruote - sostituzione;TPL-RUO-02;sostituzione;12 mesi;01/12/25;2026-12-01;Carrelli Nordest Srl;N/D;110,00;OK;;
GEN;Addolcitore acqua - resine e sale;;controllo;1 mese;2026-04-30;30-mag-26;interno (Bissoli);0,5;;OK;;
GEN;Gruppo pompaggio antincendio;;prova avviamento;1 mese;26-apr-26;26/05/26;Antincendio Veneta;1;;OK;;verbale in portineria
GEN;Estintori e idranti;;verifica semestrale;6 mesi;31/01/26;2026-07-31;Antincendio Veneta;4;310,00;OK;;
GEN;UTA reparto confezionamento - filtri;UTA-FLT-F7;sostituzione;3 mesi;2026-02-25;25-mag-26;interno (Bissoli);2;145,00;OK;OdL-26-0163;filtri F7 - igiene aria BRCGS 4.4
GEN;Lampade UV monconi - sostituzione;;sostituzione;12 mesi;20-giu-25;20/06/26;interno (Bissoli);1;220,00;OK;;
GEN;Retine antinsetto finestre - integrita;;ispezione;3 mesi;14/03/26;2026-06-14;interno (Bissoli);1;;OK;;pest control: Ecopest contratto
FT-01;Pulizia bruciatore - controllo fiamma;;pulizia programmata;1 mese;2026-04-26;26-mag-26;interno (Bissoli);1;;OK;;
FT-01;Pulizia bruciatore - controllo fiamma;;pulizia programmata;1 mese;02-mag-26;01/06/26;interno (Bissoli);1;;OK;;
FT-02;Pulizia bruciatore - controllo fiamma;;pulizia programmata;1 mese;07/04/26;2026-05-07;interno (Bissoli);1;;OK;;
FT-02;Pulizia bruciatore - controllo fiamma;;pulizia programmata;1 mese;2026-05-02;01-giu-26;interno (Bissoli);1;;OK;;
PKM-450;Pulizia gruppo saldatura;;pulizia programmata;1 mese;07-apr-26;07/05/26;interno (Bissoli);1;;OK;;
PKM-450;Pulizia gruppo saldatura;;pulizia programmata;1 mese;02/05/26;2026-06-01;interno (Bissoli);1;;OK;;
MD-3200;Pulizia testata e nastro;;pulizia programmata;1 mese;2026-04-09;09-mag-26;interno (Bissoli);1;;OK;;
MD-3200;Pulizia testata e nastro;;pulizia programmata;1 mese;08-mag-26;07/06/26;interno (Bissoli);1;;OK;;
PT-104;Pulizia sonde e ugelli vapore;;pulizia programmata;1 mese;03/04/26;2026-05-03;interno (Bissoli);1;;OK;;
PT-104;Pulizia sonde e ugelli vapore;;pulizia programmata;1 mese;2026-05-03;02-giu-26;interno (Bissoli);1;;OK;;
CIP-01;Controllo livelli prodotti chimici (F0052);;pulizia programmata;1 mese;23-apr-26;23/05/26;interno (Bissoli);1;;OK;;
CIP-01;Controllo livelli prodotti chimici (F0052);;pulizia programmata;1 mese;09/05/26;2026-06-08;interno (Bissoli);1;;OK;;
TS-01;Sbrinamento programmato;;pulizia programmata;1 mese;2026-04-19;19-mag-26;interno (Bissoli);1;;OK;;
TS-01;Sbrinamento programmato;;pulizia programmata;1 mese;04-mag-26;03/06/26;interno (Bissoli);1;;OK;;
CF-02;Sbrinamento programmato;;pulizia programmata;1 mese;24/04/26;2026-05-24;interno (Bissoli);1;;OK;;
CF-02;Sbrinamento programmato;;pulizia programmata;1 mese;2026-05-08;07-giu-26;interno (Bissoli);1;;OK;;
IMP-300;Pulizia approfondita vasca;;pulizia programmata;1 mese;17-apr-26;17/05/26;interno (Bissoli);N/D;;OK;;
IMP-300;Pulizia approfondita vasca;;pulizia programmata;1 mese;04/05/26;2026-06-03;interno (Bissoli);1;;OK;;
COMP-01;Scarico condensa serbatoio;;pulizia programmata;1 mese;2026-04-22;22-mag-26;interno (Bissoli);1;;OK;;
COMP-01;Scarico condensa serbatoio;;pulizia programmata;1 mese;02-mag-26;01/06/26;interno (Bissoli);1;;OK;;
COMP-02;Scarico condensa serbatoio;;pulizia programmata;1 mese;14/04/26;2026-05-14;interno (Bissoli);1;;OK;;
COMP-02;Scarico condensa serbatoio;;pulizia programmata;1 mese;2026-05-06;05-giu-26;interno (Bissoli);1;;OK;;
PKM-450;Guarnizioni valvola iniezione azoto;PKM-4471-EPDM (orig. Pakmatic);sostituzione;6 mesi;12/07/25;2026-01-12;Pakmatic Italia (F0077);3;410,00;SCADUTO;OdL-26-0019;manca ricambio - ordine F0077 del 08/05 sollecitato, arrivo previsto 15/05
CF-02;Compressore frigo - controllo assorbimenti;;controllo;6 mesi;30-ott-25;30/04/26;Frigotecnica Scaligera;2;310,00;SCADUTO;OdL-26-0175;assorbimento anomalo segnalato 08/05 (Dal Maso) - vedi consumi
CIP-01;Pompe dosaggio soda/acido (F0052);DOS-CHM-2X;taratura portata;6 mesi;17-feb-26;17/08/26;interno (Dal Maso);2;;OK;OdL-26-0105;
;;;;;;;;;;;;
NB (Trentin): costi senza IVA. dove manca il costo e' in economia interna (non tracciato, da sistemare con nuovo gestionale);;;;;;;;;;;;
