LETTURE CONTATORI DI REPARTO - MAGGIO 2026 - fornitore: Veneta Energia S.p.A. (F0081) - a cura L.Trentin;;;;;;;;;
Data;Centro_costo;kWh_F1;kWh_F2;kWh_F3;kWh_tot;m3_metano;Costo_unit_EUR;Costo_tot_EUR;Note
14/05/26;FORNI FT-01/FT-02;691;496;316;1.502;868;0,182;273,51;
14/05/26;CELLA FRIGO CF-01;102;73;47;222;;0,182;40,32;
14/05/26;CELLA SURGELATI CF-02;292;209;133;634;;0,182;115,37;
14/05/26;COMPRESSORI ARIA;165;118;75;358;;0,182;65,13;
14/05/26;CIP-01 / LAVAGGI;67;48;31;146;;0,182;26,54;
14/05/26;UFFICI/SERVIZI;51;37;23;111;;0,182;20,23;
15/05/26;FORNI FT-01/FT-02;716;514;327;1.557;890;0,182;283,38;
2026-05-15;CELLA FRIGO CF-01;99;71;45;216;;0,182;39,32;
15/05/26;CELLA SURGELATI CF-02;299;215;137;650;;0,182;118,36;
15/05/26;COMPRESSORI ARIA;144;103;66;314;;0,182;57,07;
15/05/26;CIP-01 / LAVAGGI;72;52;33;156;;0,182;28,46;
15/05/26;UFFICI/SERVIZI;54;39;25;118;;0,182;21,43;
16/05/26;FORNI FT-01/FT-02;681;488;311;1.479;894;0,182;269,33;
16/05/26;CELLA FRIGO CF-01;104;74;47;225;;0,182;40,97;
16/05/26;CELLA SURGELATI CF-02;301;216;138;655;;0,182;119,17;ghiaccio su evaporatore CF-02 - sbrinamento manuale Bissoli
16/05/26;COMPRESSORI ARIA;154;111;70;335;;0,182;60,98;
2026-05-16;CIP-01 / LAVAGGI;64;46;29;140;;0,182;25,41;
16/05/26;UFFICI/SERVIZI;54;39;25;118;;0,182;21,43;
Data;Centro_costo;kWh_F1;kWh_F2;kWh_F3;kWh_tot;m3_metano;Costo_unit_EUR;Costo_tot_EUR;Note
17/05/26;FORNI FT-01/FT-02;668;479;305;1.453;892;0,182;264,45;
17/05/26;CELLA FRIGO CF-01;93;67;43;203;;0,182;36,97;
17/05/26;CELLA SURGELATI CF-02;263;189;120;571;;0,182;103,97;
17/05/26;COMPRESSORI ARIA;144;103;66;313;;0,182;57,04;
17/05/26;CIP-01 / LAVAGGI;73;53;34;160;;0,182;29,06;
17/05/26;UFFICI/SERVIZI;51;37;24;112;;0,182;20,37;
18/05/26;FORNI FT-01/FT-02;683;490;312;1.485;1053;0,182;270,34;
2026-05-18;CELLA FRIGO CF-01;100;72;46;217;;0,182;39,50;
18/05/26;CELLA SURGELATI CF-02;275;197;126;598;;0,182;108,81;
18/05/26;COMPRESSORI ARIA;149;107;68;324;;0,182;58,94;
18/05/26;CIP-01 / LAVAGGI;73;52;33;159;;0,182;28,92;
18/05/26;UFFICI/SERVIZI;55;39;25;119;;0,182;21,75;
19/05/26;FORNI FT-01/FT-02;621;446;284;1.350;973;0,182;245,86;
19/05/26;CELLA FRIGO CF-01;101;72;46;219;;0,182;39,80;
19/05/26;CELLA SURGELATI CF-02;287;206;131;625;;0,182;113,74;
19/05/26;COMPRESSORI ARIA;167;120;76;364;;0,182;66,26;
2026-05-19;CIP-01 / LAVAGGI;74;53;34;161;;0,182;29,38;
19/05/26;UFFICI/SERVIZI;57;41;26;124;;0,182;22,66;
20/05/26;FORNI FT-01/FT-02;688;494;314;1.495;927;0,182;272,23;
20/05/26;CELLA FRIGO CF-01;92;66;42;200;;0,182;36,39;
20/05/26;CELLA SURGELATI CF-02;276;198;126;601;;0,182;109,31;
20/05/26;COMPRESSORI ARIA;167;120;76;362;;0,182;65,94;
20/05/26;CIP-01 / LAVAGGI;66;47;30;144;;0,182;26,14;
20/05/26;UFFICI/SERVIZI;53;38;24;114;;0,182;20,78;
SUBTOT decade;;;;;;;;#RIF!;(formula rotta, rifare)
21/05/26;FORNI FT-01/FT-02;679;487;310;1.476;973;0,182;268,68;
2026-05-21;CELLA FRIGO CF-01;95;68;44;207;;0,182;37,71;
21/05/26;CELLA SURGELATI CF-02;266;191;122;579;;0,182;105,40;
21/05/26;COMPRESSORI ARIA;146;105;67;317;;0,182;57,77;
21/05/26;CIP-01 / LAVAGGI;69;50;32;150;;0,182;27,33;
21/05/26;UFFICI/SERVIZI;57;41;26;124;;0,182;22,59;
22/05/26;FORNI FT-01/FT-02;668;479;305;1.451;1021;0,182;264,22;
22/05/26;CELLA FRIGO CF-01;102;73;47;222;;0,182;40,32;
22/05/26;CELLA SURGELATI CF-02;273;196;125;593;;0,182;107,94;
22/05/26;COMPRESSORI ARIA;162;116;74;352;;0,182;63,98;
2026-05-22;CIP-01 / LAVAGGI;72;52;33;156;;0,182;28,43;
22/05/26;UFFICI/SERVIZI;53;38;24;115;;0,182;21,00;
23/05/26;FORNI FT-01/FT-02;686;492;313;1.491;1053;0,182;271,49;
23/05/26;CELLA FRIGO CF-01;96;69;44;209;;0,182;38,07;
23/05/26;CELLA SURGELATI CF-02;262;188;119;569;;0,182;103,50;
23/05/26;COMPRESSORI ARIA;147;105;67;319;;0,182;58,10;
23/05/26;CIP-01 / LAVAGGI;72;52;33;157;;0,182;28,55;
23/05/26;UFFICI/SERVIZI;54;39;25;118;;0,182;21,46;
24/05/26;FORNI FT-01/FT-02;123;88;56;268;183;0,182;48,76;
2026-05-24;CELLA FRIGO CF-01;97;70;44;212;;0,182;38,56;
24/05/26;CELLA SURGELATI CF-02;263;189;120;571;;0,182;104,01;intervento tampone Dal Maso - migliora ma non torna a posto
24/05/26;COMPRESSORI ARIA;27;19;12;58;;0,182;10,54;
24/05/26;CIP-01 / LAVAGGI;12;9;6;27;;0,182;4,91;
24/05/26;UFFICI/SERVIZI;11;8;5;25;;0,182;4,52;
25/05/26;FORNI FT-01/FT-02;637;457;291;1.384;1011;0,182;251,95;
25/05/26;CELLA FRIGO CF-01;95;68;43;205;;0,182;37,40;
25/05/26;CELLA SURGELATI CF-02;239;171;109;520;;0,182;94,58;
25/05/26;COMPRESSORI ARIA;160;115;73;349;;0,182;63,49;
2026-05-25;CIP-01 / LAVAGGI;64;46;29;140;;0,182;25,39;
25/05/26;UFFICI/SERVIZI;58;41;26;125;;0,182;22,77;
26/05/26;FORNI FT-01/FT-02;684;491;312;1.486;944;0,182;270,55;
26/05/26;CELLA FRIGO CF-01;104;75;47;226;;0,182;41,12;
26/05/26;CELLA SURGELATI CF-02;237;170;108;516;;0,182;93,87;
26/05/26;COMPRESSORI ARIA;165;118;75;359;;0,182;65,31;
26/05/26;CIP-01 / LAVAGGI;73;52;33;158;;0,182;28,79;
26/05/26;UFFICI/SERVIZI;58;42;27;127;;0,182;23,07;
27/05/26;FORNI FT-01/FT-02;640;459;292;1.391;962;0,182;253,31;
2026-05-27;CELLA FRIGO CF-01;104;75;48;227;;0,182;41,26;
27/05/26;CELLA SURGELATI CF-02;233;167;106;506;;0,182;92,15;
27/05/26;COMPRESSORI ARIA;145;104;66;315;;0,182;57,26;
27/05/26;CIP-01 / LAVAGGI;68;49;31;148;;0,182;26,94;
27/05/26;UFFICI/SERVIZI;53;38;24;116;;0,182;21,05;
28/05/26;FORNI FT-01/FT-02;622;446;284;1.352;987;0,182;246,22;
28/05/26;CELLA FRIGO CF-01;104;74;47;225;;0,182;41,02;
28/05/26;CELLA SURGELATI CF-02;236;169;108;513;;0,182;93,30;
28/05/26;COMPRESSORI ARIA;144;103;66;313;;0,182;56,95;
2026-05-28;CIP-01 / LAVAGGI;67;48;31;146;;0,182;26,56;
28/05/26;UFFICI/SERVIZI;58;42;26;126;;0,182;22,93;
29/05/26;FORNI FT-01/FT-02;628;450;287;1.365;974;0,182;248,44;
29/05/26;CELLA FRIGO CF-01;102;73;47;222;;0,182;40,34;
29/05/26;CELLA SURGELATI CF-02;241;173;110;523;;0,182;95,16;
29/05/26;COMPRESSORI ARIA;146;105;67;318;;0,182;57,93;
29/05/26;CIP-01 / LAVAGGI;69;49;31;149;;0,182;27,12;
29/05/26;UFFICI/SERVIZI;58;42;26;126;;0,182;22,92;
30/05/26;FORNI FT-01/FT-02;707;507;323;1.537;1017;0,182;279,83;
2026-05-30;CELLA FRIGO CF-01;90;65;41;196;;0,182;35,70;
30/05/26;CELLA SURGELATI CF-02;231;166;106;502;;0,182;91,44;
30/05/26;COMPRESSORI ARIA;155;111;71;337;;0,182;61,38;
30/05/26;CIP-01 / LAVAGGI;69;49;31;150;;0,182;27,24;
30/05/26;UFFICI/SERVIZI;54;38;24;117;;0,182;21,21;
31/05/26;FORNI FT-01/FT-02;124;89;57;270;182;0,182;49,09;
31/05/26;CELLA FRIGO CF-01;103;74;47;224;;0,182;40,81;
31/05/26;CELLA SURGELATI CF-02;235;168;107;510;;0,182;92,79;
31/05/26;COMPRESSORI ARIA;20;14;9;43;;0,182;7,78;
2026-05-31;CIP-01 / LAVAGGI;15;11;7;32;;0,182;5,87;
31/05/26;UFFICI/SERVIZI;11;8;5;25;;0,182;4,54;
;;;;;;;;;
CONFRONTO MAGGIO 2025 (da fatture Veneta Energia F0081);;;;;;;;;
Centro_costo;kWh_mag25;kWh_mag26;delta_%;;;;;;
FORNI FT-01/FT-02;38629;41252;+6,8;(piu' ore x promo Tosano, torna);;;;;
CELLA FRIGO CF-01;5425;6638;+22,3;;;;;;
CELLA SURGELATI CF-02;11183;16739;+49,7;ANOMALIA - aprire OdL, non e' il caldo (mag25 simile);;;;;
COMPRESSORI ARIA;8671;9618;+10,9;;;;;;
CIP-01 / LAVAGGI;4017;4290;+6,8;;;;;;
UFFICI/SERVIZI;3019;3391;+12,3;;;;;;
;;;;;;;;;
(Trentin) letture del 4 e 5/05 stimate, contatore CIP illeggibile - conguaglio in fattura. NON usare x budget senza sentirmi;;;;;;;;;
