Scarto prodotto per surgelazione lenta (stima Guerra);1,8%;0,6%;;valore scarto ~0,9 EUR/kg... conto sotto;
Valore recupero scarto EUR/anno;;;=((0,018-0,006)*1150000*0,9);cella rimasta formula, excel non la calcolava;
Valore recupero scarto (a mano);;;12.420,00;;
RISPARMIO TOTALE ANNUO;;;30.322,00;;
;;;;;
SEZIONE E - AMMORTAMENTO E PAYBACK;;;;;
Valore ammortizzabile;413.316,00;;coerente col TOTALE sez. A (il mio, non quello di Fantin);;
Aliquota ammortamento;#RIF!;;era collegata al foglio di Bellotto, rotto il link;;
Aliquota usata nei conti;12,5%;;8 anni, da confermare con Bellotto in sede di bilancio;;
Quota ammortamento annua;51.664,50;;=B62*B64;;
;;;;;
Payback SEMPLICE senza credito imposta;;;;;
Investimento;413.316,00;;;;
Beneficio annuo (risparmi sez. D);30.322,00;;;;
Payback anni;13,63;;=B68/B69 LUNGHISSIMO ma il tunnel NON si compra per il risparmio;;
;;;;;
il TS-01 e' a fine vita: fermata non programmata = linea 3 ferma;;;;;
capacita' +250 kg/h serve per la PL Tosano 2027 (AF-CR-0215) se si firma il rinnovo;;;;;
;;;;;
SEZIONE F - IPOTESI CREDITO D'IMPOSTA BENI STRUMENTALI 4.0;;;;;
ATTENZIONE: ipotesi di lavoro mia, la parola FINALE e' dello Studio Bellotto (v. sua nota);;;;;
Requisito;Stato;Note;;;
Bene allegato A L.232/2016;da confermare;tunnel con PLC, sensori, supervisione: Bellotto dice riconducibile;;;
Interconnessione al gestionale;DA FARE;modulo Systempoint 7.400 gia' in quadro economico;;;
Perizia tecnica asseverata;DA INCARICARE;obbligatoria sopra 300.000, nominativo lo propone Bellotto;;;
Dicitura in fattura;RICHIESTA a Criotech il 13/05;verificare su fattura acconto FA-2026-0552!!;;;
Costo agevolabile ipotizzato;395.016,00;escluse opere murarie 18.300 (edili NON agevolabili) - ma dentro imprevisti pro quota? CHIEDERE;;;
Aliquota ipotizzata;20%;ALIQUOTA DA CONFERMARE con Bellotto, normativa 2026 cambiata;;;
Credito ipotizzato;79.003,20;=B82*B83;;;
Fruizione;3 quote annuali in F24;dal periodo di interconnessione;;;
Quota annua ipotizzata;26.334,40;;;;
Payback CON credito (grezzo);;;;;
Investimento netto credito;334.312,80;;;;
Payback anni;11,03;sempre lungo, vedi sopra: e' una sostituzione obbligata, non un progetto di risparmio;;;
;;;;;
SEZIONE G - PROMEMORIA;;;;;
1;conferma d'ordine Criotech firmata Bertoldi 08/05/26 - copia in archivio cartaceo;;;;
2;acconto 87.000 pagato 15/05 - PESA sulla cassa di maggio insieme all'incasso Tosano che slitta al 10/06 (RIBA 90gg);;;;
3;chiedere a Bellotto: perizia, aliquota, cumulo con eventuale bando regionale;;;;
4;appendice assicurativa macchinari (Todeschini) PRIMA della consegna di settembre;;;;
5;Guerra: pianificare fermo linea 3 per installazione, 8-10 gg lavorativi, ott 2026;;;;
6;NON smontare il TS-01 prima del collaudo positivo del CR-SP180;;;;
