N_rapporto;Data_prelievo;Punto_di_prelievo;Parametro;Metodo;Risultato;UM;Valore_parametro_D.Lgs.18/2023;Esito;Laboratorio
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);CBT a 22 °C;UNI EN ISO 6222;35;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);CBT a 36 °C;UNI EN ISO 6222;9;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);Durezza totale;APAT CNR IRSA 2040 B;6;°f;15-50 (valore consigliato);Vedi nota;addolcita per generatore vapore e CIP - deroga interna, non destinata al consumo diretto
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);pH;UNI EN ISO 10523;7,4;unità pH;6,5-9,5;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0099;15/01/2026;Uscita addolcitore (acqua di processo);Conducibilità a 20 °C;UNI EN 27888;512;µS/cm;2500;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);CBT a 22 °C;UNI EN ISO 6222;22;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);Durezza totale;APAT CNR IRSA 2040 B;4;°f;15-50 (valore consigliato);Vedi nota;acqua addolcita, valore atteso per protezione caldaia
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);pH;UNI EN ISO 10523;7,8;unità pH;6,5-9,5;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0100;15/01/2026;Alimento generatore vapore (centrale termica);Conducibilità a 20 °C;UNI EN 27888;530;µS/cm;2500;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);CBT a 22 °C;UNI EN ISO 6222;18;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);CBT a 36 °C;UNI EN ISO 6222;6;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);Cloro residuo libero;APAT CNR IRSA 4080;0,10;mg/l;0,2 (valore indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0101;15/01/2026;Acqua lavaggio impianti (utenza CIP-01);Torbidità;UNI EN ISO 7027-1;0,3;NTU;accettabile (≤ 1 indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0102;15/01/2026;Produttore di ghiaccio (sala confezionamento);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0102;15/01/2026;Produttore di ghiaccio (sala confezionamento);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0102;15/01/2026;Produttore di ghiaccio (sala confezionamento);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0102;15/01/2026;Produttore di ghiaccio (sala confezionamento);CBT a 22 °C;UNI EN ISO 6222;41;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0102;15/01/2026;Produttore di ghiaccio (sala confezionamento);CBT a 36 °C;UNI EN ISO 6222;15;UFC/ml;senza variazioni anomale;Conforme;valore in aumento rispetto a ott-25 (5), tenere d'occhio - nota Pozzato
RDP-26-0102;15/01/2026;Produttore di ghiaccio (sala confezionamento);Torbidità;UNI EN ISO 7027-1;0,5;NTU;accettabile (≤ 1 indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);CBT a 22 °C;UNI EN ISO 6222;28;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);Cloro residuo libero;APAT CNR IRSA 4080;0,08;mg/l;0,2 (valore indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);Ferro;UNI EN ISO 11885;110;µg/l;200;Conforme;tubazione vecchia ala spogliatoi, valore storicamente più alto del resto dello stabilimento
RDP-26-0103;15/01/2026;Spogliatoi produzione (lavabo);pH;UNI EN ISO 10523;7,5;unità pH;6,5-9,5;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0134;12/02/2026;Rete ingresso stabilimento (contatore);Cloro residuo libero;APAT CNR IRSA 4080;0,14;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile - Pozzato S. (kit DPD)
RDP-26-0134;12/02/2026;Acqua lavaggio impianti (utenza CIP-01);Cloro residuo libero;APAT CNR IRSA 4080;0,11;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile - Pozzato S. (kit DPD)
RDP-26-0134;12/02/2026;Produttore di ghiaccio (sala confezionamento);Cloro residuo libero;APAT CNR IRSA 4080;0,05;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile - basso, il filtro a carboni del produttore abbatte il cloro
RDP-26-0166;10-mar-26;Rete ingresso stabilimento (contatore);Cloro residuo libero;APAT CNR IRSA 4080;0,13;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile - Pozzato S.
RDP-26-0166;10-mar-26;Uscita addolcitore (acqua di processo);Cloro residuo libero;APAT CNR IRSA 4080;0,09;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile
RDP-26-0166;10-mar-26;Produttore di ghiaccio (sala confezionamento);Cloro residuo libero;APAT CNR IRSA 4080;0,03;mg/l;0,2 (valore indicativo);Conforme;quasi assente a valle del filtro - programmata sostituzione cartuccia carboni con Dal Maso
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);CBT a 22 °C;UNI EN ISO 6222;15;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);CBT a 36 °C;UNI EN ISO 6222;5;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);Nitrati;UNI EN ISO 10304-1;19,1;mg/l;50;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);Cloro residuo libero;APAT CNR IRSA 4080;0,15;mg/l;0,2 (valore indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0201;2026-04-16;Rete ingresso stabilimento (contatore);pH;UNI EN ISO 10523;7,7;unità pH;6,5-9,5;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0202;16/04/2026;Uscita addolcitore (acqua di processo);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0202;16/04/2026;Uscita addolcitore (acqua di processo);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0202;16/04/2026;Uscita addolcitore (acqua di processo);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0202;16/04/2026;Uscita addolcitore (acqua di processo);CBT a 22 °C;UNI EN ISO 6222;44;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0202;16/04/2026;Uscita addolcitore (acqua di processo);Durezza totale;APAT CNR IRSA 2040 B;7;°f;15-50 (valore consigliato);Vedi nota;acqua addolcita di processo
RDP-26-0203;16/04/2026;Alimento generatore vapore (centrale termica);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0203;16/04/2026;Alimento generatore vapore (centrale termica);CBT a 22 °C;UNI EN ISO 6222;19;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0203;16/04/2026;Alimento generatore vapore (centrale termica);Durezza totale;APAT CNR IRSA 2040 B;5;°f;15-50 (valore consigliato);Vedi nota;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0203;16/04/2026;Alimento generatore vapore (centrale termica);Conducibilità a 20 °C;UNI EN 27888;541;µS/cm;2500;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0204;16/04/2026;Acqua lavaggio impianti (utenza CIP-01);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0204;16/04/2026;Acqua lavaggio impianti (utenza CIP-01);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0204;16/04/2026;Acqua lavaggio impianti (utenza CIP-01);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0204;16/04/2026;Acqua lavaggio impianti (utenza CIP-01);CBT a 22 °C;UNI EN ISO 6222;21;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0204;16/04/2026;Acqua lavaggio impianti (utenza CIP-01);Torbidità;UNI EN ISO 7027-1;0,4;NTU;accettabile (≤ 1 indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0205;16/04/2026;Produttore di ghiaccio (sala confezionamento);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0205;16/04/2026;Produttore di ghiaccio (sala confezionamento);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0205;16/04/2026;Produttore di ghiaccio (sala confezionamento);Coliformi a 37 °C;UNI EN ISO 9308-1;4;UFC/100 ml;0;NON CONFORME;Analytica Veneta S.r.l. - ACCREDIA 0987 - comunicato via PEC a RSGQ il 21/04, aperta NC-ACQ-26-01
RDP-26-0205;16/04/2026;Produttore di ghiaccio (sala confezionamento);CBT a 22 °C;UNI EN ISO 6222;180;UFC/ml;senza variazioni anomale;NON CONFORME;variazione anomala vs serie storica (41 a gennaio) - probabile biofilm su serpentina e filtro carboni esaurito
RDP-26-0205;16/04/2026;Produttore di ghiaccio (sala confezionamento);CBT a 36 °C;UNI EN ISO 6222;62;UFC/ml;senza variazioni anomale;Vedi nota;in aumento, coerente con contaminazione del punto - vedi azione correttiva
RDP-26-0206;16/04/2026;Spogliatoi produzione (lavabo);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0206;16/04/2026;Spogliatoi produzione (lavabo);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0206;16/04/2026;Spogliatoi produzione (lavabo);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0206;16/04/2026;Spogliatoi produzione (lavabo);CBT a 22 °C;UNI EN ISO 6222;31;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0206;16/04/2026;Spogliatoi produzione (lavabo);Ferro;UNI EN ISO 11885;235;µg/l;200;NON CONFORME;superamento su tubazione vecchia ala spogliatoi - NC-ACQ-26-02, disposto flussaggio e ripetizione. Punto NON a contatto con alimenti
RDP-26-0206;16/04/2026;Spogliatoi produzione (lavabo);Torbidità;UNI EN ISO 7027-1;1,3;NTU;accettabile (≤ 1 indicativo);Vedi nota;acqua leggermente colorata al prelievo dopo weekend di fermo - correlata al ferro
RDP-26-0219;24/04/2026;Produttore di ghiaccio (sala confezionamento);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;RIPETIZIONE post sanificazione: smontaggio e sanificazione produttore ghiaccio (PAA - IO-05), sostituzione filtro carboni, il 22/04 - eseguita Dal Maso/Pozzato
RDP-26-0219;24/04/2026;Produttore di ghiaccio (sala confezionamento);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0219;24/04/2026;Produttore di ghiaccio (sala confezionamento);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;esito favorevole - chiusura NC-ACQ-26-01 su MOD-QA-31? no, registro NC qualità (refuso, verificare modulo giusto con Marchetti)
RDP-26-0219;24/04/2026;Produttore di ghiaccio (sala confezionamento);CBT a 22 °C;UNI EN ISO 6222;8;UFC/ml;senza variazioni anomale;Conforme;rientrato ampiamente
RDP-26-0219;24/04/2026;Produttore di ghiaccio (sala confezionamento);CBT a 36 °C;UNI EN ISO 6222;3;UFC/ml;senza variazioni anomale;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0220;24/04/2026;Spogliatoi produzione (lavabo);Ferro;UNI EN ISO 11885;95;µg/l;200;Conforme;RIPETIZIONE dopo flussaggio prolungato del tratto (20 min) - rientrato. Programmare rifacimento tubazione ala spogliatoi nel piano investimenti (segnalato a Fantin)
RDP-26-0220;24/04/2026;Spogliatoi produzione (lavabo);Torbidità;UNI EN ISO 7027-1;0,4;NTU;accettabile (≤ 1 indicativo);Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0231;12/05/2026;Rete ingresso stabilimento (contatore);Cloro residuo libero;APAT CNR IRSA 4080;0,13;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile - Pozzato S.
RDP-26-0231;12/05/2026;Produttore di ghiaccio (sala confezionamento);Cloro residuo libero;APAT CNR IRSA 4080;0,08;mg/l;0,2 (valore indicativo);Conforme;post sostituzione filtro, valore risalito come atteso
RDP-26-0231;12/05/2026;Acqua lavaggio impianti (utenza CIP-01);Cloro residuo libero;APAT CNR IRSA 4080;0,12;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile
RDP-26-0231;12/05/2026;Spogliatoi produzione (lavabo);Cloro residuo libero;APAT CNR IRSA 4080;0,07;mg/l;0,2 (valore indicativo);Conforme;
RDP-26-0245;19/05/26;Produttore di ghiaccio (sala confezionamento);Coliformi a 37 °C;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;verifica supplementare a 4 settimane dalla sanificazione, richiesta da Marchetti nel piano azione NC-ACQ-26-01
RDP-26-0245;19/05/26;Produttore di ghiaccio (sala confezionamento);CBT a 22 °C;UNI EN ISO 6222;11;UFC/ml;senza variazioni anomale;Conforme;stabile - punto reinserito in frequenza ordinaria trimestrale
RDP-26-0245;19/05/26;Produttore di ghiaccio (sala confezionamento);E. coli;UNI EN ISO 9308-1;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0245;19/05/26;Produttore di ghiaccio (sala confezionamento);Enterococchi intestinali;UNI EN ISO 7899-2;0;UFC/100 ml;0;Conforme;Analytica Veneta S.r.l. - ACCREDIA 0987
RDP-26-0258;09/06/2026;Rete ingresso stabilimento (contatore);Cloro residuo libero;APAT CNR IRSA 4080;0,16;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile - eseguito in mattinata, stessa giornata dell'ispezione ULSS 9 (nulla rilevato sul punto)
RDP-26-0258;09/06/2026;Uscita addolcitore (acqua di processo);Cloro residuo libero;APAT CNR IRSA 4080;0,10;mg/l;0,2 (valore indicativo);Conforme;controllo interno mensile
RDP-26-0258;09/06/2026;Produttore di ghiaccio (sala confezionamento);Cloro residuo libero;APAT CNR IRSA 4080;0,09;mg/l;0,2 (valore indicativo);Conforme;
